DateTime,AddedIPs,RemovedIPs
1603517669,14,60
1603518927,3,5
1603520438,108,3
1603521269,0,14
1603524866,50,18
1603527632,44,11
1603528461,7,11
1603529562,15,7
1603531527,26,24
1603532067,7,9
1603534887,37,32
1603535662,3,498
1603538388,22,45
1603539261,2,8
1603542128,42,5
1603543823,19,12
1603546463,25,33
1603548260,26,23
1603550066,16,25
1603553719,38,51
1603555610,21,23
1603556727,6,0
1603558223,7,47
1603559566,38,24
1603561618,13,28
1603564467,24,100
1603567109,30,21
1603568067,5,20
1603570847,21,22
1603571664,1,15
1603575266,29,31
1603577819,34,18
1603579829,4,32
1603581928,19,19
1603583424,8,26
1603585490,3,12
1603586065,1,11
1603587783,5,14
1603589669,7,21
1603593268,18,29
1603596089,57,31
1603596870,2,19
1603598864,2,26
1603599991,5,1
1603601430,3,24
1603604067,14,48
1603607665,11,36
1603610290,66,16
1603611269,4,28
1603613254,24,14
1603614869,11,20
1603617078,25,15
1603618463,10,18
1603620622,28,10
1603622065,10,14
1603624404,51,13
1603625661,17,18
1603627849,36,23
1603629268,8,13
1603631773,46,23
1603632851,0,1640
1603633997,1637,0
1603635215,41,22
1603636465,17,25
1603638540,51,26
1603640065,11,27
1603642031,59,40
1603643673,11,26
1603645417,18,16
1603646737,6,1
1603648219,17,33
1603649752,12,25
1603651727,27,19
1603652912,91,18
1603654487,13,19
1603658067,0,1714
1603661675,1695,0
1603662893,4,6
1603664727,13,11
1603665268,3,13
1603668331,82,10
1603669829,20,9
1603671924,6,12
1603672465,0,6
1603674973,8,19
1603676068,13,7
1603678778,21,18
1603679669,6,9
1603681728,20,5
1603683272,8,7
1603686872,31,13
1603688177,9,3
1603689932,17,29
1603693193,27,63
1603694072,2,31
1603695209,12,1
1603697138,9,21
1603697668,6,10
1603699080,25,10
1603700297,15,15
1603701269,22,9
1603703191,24,27
1603704868,20,9
1603705980,9,2
1603707160,15,16
1603708273,14,9
1603708470,1,0
1603709619,11,0
1603712072,27,45
1603715128,39,33
1603716287,23,10
1603717454,11,14
1603718737,16,1
1603720230,13,14
1603721677,8,24
1603722872,7,8
1603724018,6,2
1603725439,20,21
1603726468,11,12
1603728256,15,25
1603729528,10,0
1603731027,12,2
1603732477,9,22
1603733670,12,6
1603735353,13,18
1603736731,14,3
1603738229,19,9
1603739912,53,12
1603741596,7,10
1603744464,16,24
1603746259,148,19
1603748069,30,24
1603750573,13,12
1603751896,9,11
1603754178,619,6
1603755250,280,15
1603757213,12,15
1603758864,9,11
1603760992,11,15
1603762473,7,8
1603766066,52,43
1603768445,16,8
1603770618,0,2833
1603773263,2844,0
1603775257,10,5
1603777333,7,2
1603779931,21,32
1603781442,2,18
1603782575,7,13
1603784069,22,17
1603786773,21,23
1603787669,4,7
1603789588,19,11
1603791274,8,16
1603792962,12,37
1603794303,4,1
1603795831,11,10
1603797483,8,38
1603799233,7,10
1603801153,70,28
1603802068,7,19
1603804802,14,51
1603805671,13,15
1603806904,0,2758
1603808356,2725,0
1603809267,2,6
1603811749,9,40
1603812991,7,11
1603814231,4,6
1603815933,14,16
1603816467,1,8
1603818281,31,10
1603820068,12,14
1603821883,30,21
1603823665,14,73
1603824898,7,3
1603826529,90,10
1603828232,8,18
1603830865,13,19
1603832226,7,5
1603833936,51,7
1603834469,2,10
1603836654,14,18
1603838088,14,52
1603841669,32,29
1603843718,28,4
1603845280,4,14
1603847243,10,6
1603848870,29,12
1603852470,22,32
1603856069,17,28
1603859668,20,29
1603863269,15,23
1603866869,20,21
1603870467,23,43
1603874071,9,30
1603875319,6,8
1603877017,0,2664
1603878690,2678,0
1603880361,25,13
1603881269,6,12
1603884871,30,44
1603886164,17,7
1603887928,22,12
1603890350,26,32
1603891533,22,0
1603892071,7,12
1603893435,25,5
1603894853,0,2721
1603895673,2702,0
1603896911,3,5
1603898726,14,12
1603899270,9,15
1603902329,32,16
1603903828,12,20
1603905609,21,13
1603906466,10,16
1603910068,28,37
1603913128,19,11
1603914623,13,8
1603916232,4,58
1603917833,10,74
1603919688,21,17
1603920874,10,18
1603924464,25,769
1603926470,21,9
1603928065,0,1856
1603931666,1850,0
1603934098,6,10
1603935265,5,47
1603938865,31,29
1603941930,16,10
1603943963,8,24
1603945502,8,1
1603946070,1,15
1603949671,9,23
1603950959,3,2
1603952726,9,8
1603954040,4,12
1603956328,25,26
1603957833,6,8
1603959345,12,16
1603961276,0,1762
1603962543,1766,0
1603964934,11,13
1603967695,7,17
1603969495,61,10
1603970730,22,5
1603971840,5,82
1603974867,33,26
1603976651,0,1752
1603978462,1781,0
1603981395,16,35
1603982067,7,6
1603983166,7,2
1603984990,30,10
1603985664,3,9
1603989267,16,49
1603990411,6,1
1603992871,17,44
1603994850,7,16
1603996467,7,108
1603997691,13,4
1603999530,74,5
