DateTime,AddedIPs,RemovedIPs
1602878383,1,0
1602879944,1,0
1602882947,1,1
1602884087,0,1
1602887906,1,2
1602890109,0,2
1602892239,22,1
1602894900,1,8
1602897389,4,0
1602899450,1,1
1602902090,0,1
1602904660,1,4
1602908297,2,4
1602911918,0,1
1602912878,1,0
1602915943,0,2
1602919170,2,0
1602920082,1,0
1602923674,1,2
1602926413,2,0
1602930880,0,1
1602932791,3,1
1602934481,1,0
1602938995,0,1
1602940116,0,2
1602941679,2,1
1602943477,1,0
1602947790,0,2
1602948878,0,1
1602960625,0,1
1602963276,1,0
1602969834,0,1
1602972633,1,0
1602974079,1,1
1602977078,3,1
1602983613,0,1
1602988496,4,1
1602992077,0,4
1602995147,1,0
1602999278,1,0
1603005256,1,0
1603009539,1,0
1603010076,0,2
1603012666,2,1
1603019311,0,1
1603022192,3,0
1603023935,1,1
1603026538,2,2
1603031667,1,0
1603035277,0,3
1603038878,0,1
1603041940,8,0
1603043436,4,1
1603047030,1,0
1603049693,0,2
1603052752,4,1
1603056882,0,1
1603059823,2,0
1603060969,0,14
1603064083,5,8
1603067141,0,5
1603070737,1,1
1603074875,1,1
1603078481,0,2
1603082090,0,1
1603083841,1,0
1603088757,1,1
1603092224,1,1
1603092904,0,1
1603096493,0,2
1603098464,2,0
1603102705,0,3
1603103979,1,0
1603106453,0,1
1603108241,1,0
1603110898,0,1
1603113942,0,2
1603115458,1,0
1603121676,9,0
1603128208,2,0
1603133438,2,1
1603143279,2,2
1603146347,1,3
1603147838,1,0
1603153502,1,0
1603154096,0,1
1603155396,0,3
1603157676,1,0
1603160298,1,0
1603164889,2,1
1603171118,3,0
1603174835,1,1
1603179285,0,1
1603182888,3,2
1603184700,8,0
1603187782,1,0
1603191882,0,3
1603193677,0,1
1603196744,1,0
1603197269,0,1
1603200879,1,1
1603205303,2,0
1603208533,0,1
1603211690,1,9
1603214114,0,4
1603215269,0,1
1603218891,1,0
1603221816,1,2
1603222474,0,2
1603229678,0,2
1603230873,1,0
1603233281,0,5
1603236340,2,1
1603237476,0,1
1603240480,2,1
1603244076,0,1
1603247675,1,0
1603252973,0,1
1603254225,1,0
1603258478,0,1
1603262072,1,0
1603263251,1,0
1603268741,0,1
1603272881,1,0
1603274685,0,1
1603276473,0,1
1603281832,1,0
1603283681,1,0
1603287583,1,0
1603292613,1,1
1603294476,0,8
1603298072,1,2
1603303164,0,2
1603304625,1,0
1603308337,1,0
1603308880,1,0
1603310857,3,1
1603314747,8,1
1603316071,0,1
1603318584,1,0
1603322743,1,1
1603323868,0,1
1603326877,1,1
1603330474,0,1
1603334077,1,2
1603337144,0,1
1603342242,0,1
1603345338,0,1
1603347942,1,0
1603352095,1,0
1603354166,2,9
1603357656,0,1
1603365857,1,1
1603367513,1,0
1603373161,1,1
1603379170,0,1
1603381682,0,2
1603389260,1,1
1603392524,0,1
1603395280,0,1
1603400819,0,1
1603403761,3,0
1603405160,0,2
1603409678,0,2
1603412648,1,0
1603416885,0,1
1603418263,0,1
1603419558,1,0
1603424450,1,2
1603426436,1,0
1603429700,1,0
1603431279,0,2
1603432757,0,1
1603434878,1,0
1603441244,2,0
1603443041,2,0
1603444247,1,0
1603445467,1,0
1603448167,9,0
1603449273,1,0
1603452878,0,1
1603456475,0,1
1603460069,1,0
1603461927,2,0
1603466542,1,0
1603467276,1,1
1603474487,1,1
1603478379,0,1
1603480592,0,3
1603481671,0,4
1603482918,0,1
1603484119,1,3
1603489837,0,1
1603495543,0,1
1603501465,0,2
1603503283,0,2
1603505867,1,0
1603508802,1,0
1603510484,2,0
1603513200,2,0
1603517677,1,1
1603520446,1,0
1603524875,1,3
1603527642,1,0
1603528469,1,0
1603529578,1,0
1603534895,1,1
1603535674,1,0
1603543835,1,0
1603546471,1,0
1603548275,1,0
1603553726,1,0
1603559574,0,1
1603564474,3,0
1603567117,1,0
1603575273,0,3
1603577840,1,1
1603579839,1,0
1603581937,2,0
1603583436,2,1
1603587800,2,0
1603589677,0,1
1603593278,1,1
1603598872,1,0
1603601441,1,0
1603604075,1,0
1603607674,2,4
1603610307,1,0
1603611277,0,3
1603613268,0,2
1603614877,1,1
1603617088,0,6
1603618471,0,4
1603620635,2,0
1603624414,5,0
1603625668,0,1
1603627867,7,0
1603631791,1,3
1603636473,0,1
1603640074,0,2
1603642046,1,0
1603643680,0,1
1603645435,2,0
1603649769,15,0
1603652927,0,1
1603654495,1,0
1603661687,4,0
1603664737,4,0
1603668345,1,0
1603676075,0,1
1603678787,0,1
1603679677,0,2
1603681737,0,2
1603686884,1,1
1603689953,1,0
1603693208,1,1
1603694080,1,2
1603695224,1,0
1603697151,1,0
1603697678,0,1
1603699135,0,2
1603701277,1,1
1603704877,1,2
1603707168,1,0
1603708479,1,0
1603715143,1,0
1603716298,0,1
1603717476,1,0
1603718754,1,0
1603720244,1,0
1603721688,2,0
1603732487,1,2
1603733678,1,1
1603735373,0,1
1603744472,2,0
1603746278,0,1
1603748078,1,0
1603750586,1,1
1603751906,1,2
1603754192,1,2
1603757220,0,2
1603766075,2,0
1603768464,2,1
1603770628,2,0
1603773270,1,2
1603775268,0,1
1603777349,0,1
1603781458,0,1
1603786785,1,0
1603789597,0,1
1603791285,1,1
1603795841,0,1
1603799248,0,8
1603802076,0,1
1603804821,0,1
1603806912,1,0
1603808366,1,0
1603811771,1,0
1603813010,0,6
1603814247,0,1
1603815943,1,1
1603816475,2,0
1603818291,0,12
1603820075,0,3
1603821892,2,0
1603823673,0,1
1603824942,1,0
1603830874,2,3
1603834480,0,4
1603838101,0,1
1603843729,1,0
1603848879,1,0
1603852477,1,0
1603856077,1,1
1603859677,2,1
1603863277,1,2
1603866879,1,1
1603874080,1,1
1603877027,1,0
1603878700,0,1
1603880377,2,2
1603884878,0,1
1603886178,1,0
1603887941,0,1
1603890364,1,4
1603891540,0,1
1603893446,2,0
1603894854,1,0
1603896919,1,0
1603899279,0,1
1603902341,1,1
1603903839,1,0
1603905623,0,1
1603910076,2,0
1603913138,1,1
1603914633,2,0
1603916242,1,1
1603917840,0,1
1603920883,0,1
1603924471,1,1
1603928080,0,1
1603931674,1,0
1603934162,0,2
1603938873,0,4
1603943975,0,1
