DateTime,AddedIPs,RemovedIPs
1603497045,6,6
1603498681,2,8
1603501476,5,62
1603503293,9,24
1603505887,16,13
1603506886,3,6
1603508808,13,10
1603510494,4,14
1603513208,12,3
1603515051,6,12
1603517684,13,60
1603518945,3,5
1603520452,108,3
1603521283,0,14
1603524880,51,18
1603527648,43,12
1603528475,8,11
1603529588,14,7
1603531544,26,24
1603532082,9,9
1603534902,35,32
1603538402,25,543
1603539274,2,7
1603542146,43,5
1603543841,18,12
1603546477,25,33
1603548286,26,23
1603550080,15,25
1603553733,38,52
1603555626,21,21
1603556744,6,0
1603558240,7,46
1603559579,38,23
1603561635,13,28
1603564480,24,100
1603567124,29,20
1603568083,5,19
1603570862,20,20
1603571678,2,15
1603575279,29,32
1603577852,34,18
1603579849,4,30
1603581942,18,19
1603583442,8,24
1603585505,3,12
1603586080,1,11
1603587812,5,14
1603589685,8,22
1603593284,17,27
1603596104,57,30
1603596887,1,19
1603598880,2,25
1603600009,5,1
1603601449,4,24
1603604082,12,48
1603607681,10,35
1603610316,66,16
1603611283,3,27
1603613280,24,11
1603614883,11,20
1603617096,26,15
1603618477,9,18
1603620642,28,10
1603622079,9,14
1603624420,51,13
1603625675,17,18
1603627880,38,22
1603629285,6,12
1603631798,45,23
1603632870,10,20
1603634011,12,4
1603635228,43,21
1603636479,15,25
1603638562,51,25
1603640080,13,27
1603642058,57,40
1603643689,11,26
1603645442,17,16
1603646759,7,1
1603648245,16,33
1603649780,12,25
1603651756,27,19
1603652933,90,18
1603654502,13,17
1603658074,25,35
1603661696,16,25
1603662913,4,6
1603664744,14,11
1603665283,3,13
1603668352,81,10
1603669847,20,9
1603671944,6,12
1603672479,0,6
1603674998,8,20
1603676083,13,6
1603678796,21,18
1603679685,5,9
1603681746,19,5
1603686352,34,19
1603686892,4,1
1603689962,26,32
1603693215,27,64
1603694090,2,30
1603695281,12,4
1603697157,10,18
1603697688,5,10
1603699143,25,19
1603700319,15,6
1603701284,22,9
1603703208,22,27
1603704886,19,9
1603706005,9,2
1603707176,15,16
1603708488,16,9
1603709686,10,0
1603712089,27,45
1603715149,42,33
1603716309,20,10
1603717497,11,14
1603718766,16,1
1603720250,13,13
1603721699,8,24
1603722892,7,8
1603724082,6,3
1603725469,21,20
1603726483,10,12
1603728290,15,25
1603729546,11,0
1603731047,11,2
1603732535,10,22
1603733688,11,6
1603735385,13,18
1603736749,13,3
1603738246,19,9
1603739928,52,11
1603741638,8,10
1603744479,16,24
1603746285,149,19
1603748086,29,25
1603750592,13,12
1603751913,9,11
1603754209,619,6
1603755266,278,13
1603757235,12,15
1603758882,9,11
1603761020,12,15
1603762492,7,9
1603766083,51,42
1603768469,16,8
1603770639,16,4
1603773278,12,13
1603775274,10,5
1603777363,6,2
1603779950,20,32
1603781474,3,18
1603782611,8,13
1603784087,22,17
1603786793,20,23
1603787688,4,7
1603789605,19,11
1603791296,9,15
1603792998,12,37
1603794336,4,1
1603795855,10,10
1603797506,8,38
1603799255,7,10
1603801173,71,28
1603802085,6,19
1603804829,16,40
1603805686,11,15
1603806921,6,10
1603808373,8,37
1603809285,2,5
1603811777,9,40
1603813022,7,11
1603814256,6,6
1603815952,11,15
1603816482,1,7
1603818417,36,10
1603820084,7,15
1603821899,30,21
1603823681,13,73
1603824951,7,3
1603826558,88,10
1603828250,8,18
1603830882,13,18
1603832246,7,5
1603833955,51,7
1603834490,2,12
1603836679,14,17
1603838115,14,52
1603841687,31,28
1603843737,28,4
1603845310,4,14
1603847258,9,5
1603848886,27,12
1603852487,11,31
1603856086,18,28
1603859686,20,29
1603863286,16,23
1603866887,18,20
1603870484,20,42
1603874087,9,28
1603875340,6,8
1603877033,21,9
1603878707,21,19
1603880392,25,14
1603881288,6,12
1603884888,31,44
1603886190,16,7
1603887948,22,12
1603890379,25,31
1603891550,22,1
1603892090,8,12
1603893453,23,5
1603894860,9,17
1603895688,4,15
1603896927,3,5
1603898742,14,12
1603899287,9,15
1603902347,30,16
1603903846,11,20
1603905630,21,11
1603906484,9,16
1603910084,28,36
1603913144,19,11
1603914641,12,8
1603916248,3,58
1603917852,10,73
1603919753,22,18
1603920890,10,17
1603924479,25,769
1603926502,22,9
1603928086,8,7
1603931682,23,31
1603934177,6,10
1603935281,5,47
1603938882,31,29
1603941949,15,10
1603943987,8,24
1603945542,6,1
1603946091,1,14
1603949688,9,23
1603950988,2,2
1603952745,9,8
1603954066,3,12
1603956347,26,26
1603957855,6,9
1603959379,11,15
1603961307,13,10
1603962575,16,15
1603964961,10,13
1603966831,6,8
1603967718,1,9
1603970749,78,10
1603971865,4,81
1603974885,32,26
1603976675,28,10
1603978479,30,21
1603981412,17,34
1603982086,6,6
1603983182,7,2
1603985011,30,10
1603985685,3,8
1603989286,15,48
1603990428,5,1
1603992887,17,42
1603994866,7,16
1603996484,7,107
1603997710,13,4
1603999547,74,5
1604000086,2,18
1604002682,37,28
1604003682,8,50
1604004919,3,8
1604006087,15,8
1604007274,4,20
1604008767,3,15
1604010179,5,1
1604010881,0,16
1604012133,5,3
1604013358,71,15
1604018086,21,47
1604019416,7,5
1604021149,5,18
1604021687,1,13
1604024507,37,11
1604025291,4,6
1604026674,5,6
1604028330,291,16
1604029855,229,17
1604031280,2,13
1604032493,5,15
1604033765,6,6
1604036095,17,25
1604038374,5,6
1604039629,4,16
1604041190,21,10
1604042753,1,2
1604043289,3,6
1604044526,4,4
1604045694,4,9
1604046888,2,19
1604048567,53,32
1604050471,50,31
1604052284,15,13
1604054086,5,22
1604056113,11,24
1604059829,24,47
1604061294,6,30
1604062502,8,9
1604063991,4,17
1604064895,5,11
1604067024,6,14
1604068487,6,19
1604070246,9,27
1604071549,9,4
1604072899,6,10
1604074022,17,18
1604075146,4,3
1604077526,12,38
1604079286,6,9
1604080510,3,4
1604081642,9,11
1604082885,1,15
1604084218,18,4
1604085526,144,13
1604086854,5,23
1604089213,115,25
1604090084,5,12
1604092022,23,23
1604093683,7,14
1604094933,10,6
1604096750,5,15
1604097284,2,15
1604100014,47,20
1604102688,14,27
1604103920,4,4
1604105259,9,9
1604106718,5,11
1604109051,11,22
1604110985,58,14
1604112643,19,14
1604113969,20,9
1604116520,12,11
1604118354,4,5
1604118900,3,3
1604121279,5,7
1604122490,3,15
1604123796,8,2
1604125278,3,8
1604126080,11,13
1604127227,8,2
1604128573,81,15
1604129679,2,11
1604133280,46,32
1604135830,27,5
1604136890,5,6
1604138265,5,1
1604139863,15,3
1604141449,3,48
1604143133,12,13
1604146997,14,27
1604147684,3,20
1604149946,11,12
1604151109,4,13
1604152228,6,0
1604153362,6,15
1604154882,5,24
1604156261,6,5
1604158482,4,19
1604161320,5,13
1604162686,7,13
1604164795,111,5
1604165684,6,6
1604167612,27,21
1604168741,4,5
1604170245,23,58
1604172050,23,13
1604172864,4,28
1604175421,20,12
1604176487,11,14
1604177775,38,3
1604179305,4,13
1604183043,29,30
1604183677,1,40
1604186147,13,13
1604187287,0,8
1604188511,1,4
1604190352,2,7
1604190889,0,4
1604192595,2,10
1604194487,11,37
1604198084,22,323
1604200119,52,149
1604201683,2,13
1604205296,6,34
1604206415,1,0
1604208891,6,17
1604211043,6,18
1604212479,1,7
1604213951,3,7
1604215474,35,1
1604216091,5,8
1604218981,95,17
1604219691,3,75
1604222311,26,26
1604224766,48,28
1604226224,6,5
1604227850,2,11
1604229771,55,9
1604231442,7,15
1604234082,8,22
1604236163,5,10
1604237686,3,7
1604240744,18,18
1604242242,6,10
1604244353,4,19
1604245842,3,12
1604247085,5,11
1604248487,4,6
1604251342,33,7
1604252081,1,11
1604255682,84,121
1604259287,43,117
1604260521,10,8
1604262348,29,22
1604265620,17,28
1604266500,5,13
1604269179,9,28
1604270813,3,15
1604272612,18,11
1604273693,2,6
1604275004,0,2
1604276444,15,11
1604277295,1,9
1604280897,8,61
1604282026,4,0
1604284493,10,38
1604288127,84,19
1604290037,4,8
1604291690,10,6
1604295301,6,18
1604298333,7,27
1604301966,5,93
1604302499,1,13
1604305540,14,36
1604306805,14,13
1604308052,3,10
1604309691,13,20
1604310813,2,0
1604312752,0,4
1604314053,5,24
1604316899,6,11
1604319511,9,10
1604321451,4,5
1604322766,0,12
1604324079,4,15
1604325478,5,1
1604327153,3,5
1604327688,1,7
1604330743,13,16
1604332252,9,7
1604333605,11,38
1604334879,4,62
1604337948,21,9
1604339443,7,13
1604341550,6,42
1604343045,12,3
1604344186,57,8
1604345457,126,28
1604346617,105,13
1604348505,11,34
1604350527,8,10
1604352351,28,10
1604352888,5,19
1604354044,6,4
1604355421,9,4
1604357447,11,10
1604359546,20,3
1604363682,16,16
1604366640,9,8
1604368251,9,18
1604370087,41,4
1604371853,17,43
1604373296,10,4
1604374457,7,3
1604376449,16,1
1604378089,7,7
1604381155,16,6
1604382649,10,4
1604385282,30,34
1604388353,11,9
1604389849,9,76
1604391403,16,17
1604393447,13,6
1604398011,38,70
1604399707,11,25
1604400948,20,1
1604402597,10,7
