DateTime,AddedIPs,RemovedIPs
1603538371,76,110
1603539244,27,83
1603542111,126,118
1603543804,79,65
1603546444,87,161
1603548236,59,107
1603550045,54,75
1603553700,231,161
1603555593,81,101
1603556704,44,0
1603558205,74,87
1603559549,69,77
1603560645,44,81
1603561808,55,0
1603563816,105,94
1603564444,23,107
1603567086,120,83
1603568044,29,82
1603569658,60,88
1603571645,99,84
1603575244,143,164
1603577779,104,72
1603579806,65,84
1603581904,83,128
1603583405,74,74
1603585471,87,76
1603586045,26,81
1603587762,52,72
1603589645,23,84
1603593244,110,155
1603596072,134,89
1603596845,33,65
1603598838,61,78
1603599965,48,0
1603601405,47,76
1603604045,98,140
1603607644,123,150
1603608744,34,1
1603610270,99,84
1603611244,28,79
1603613228,88,136
1603614844,66,59
1603617054,104,72
1603618444,61,62
1603620601,104,71
1603622045,124,83
1603624381,117,150
1603625644,74,159
1603627827,162,69
1603629244,58,69
1603631751,101,310
1603632845,53,64
1603633973,43,1
1603635198,75,94
1603636445,56,78
1603638518,120,80
1603640044,63,84
1603642009,103,93
1603643645,549,66
1603645379,415,78
1603646701,177,5
1603648183,162,84
1603649727,231,75
1603651695,240,67
1603652891,184,96
1603654465,217,76
1603658044,331,150
1603661646,286,137
1603662867,82,30
1603664705,129,47
1603665247,42,99
1603668304,229,62
1603669805,81,71
1603671904,112,65
1603672444,24,47
1603674944,110,63
1603676046,60,72
1603678755,132,97
1603679645,38,71
1603681706,102,63
1603683245,75,73
1603686845,199,252
1603688137,62,20
1603689904,107,71
1603693174,187,157
1603694044,40,73
1603695182,64,0
1603697112,102,74
1603697644,32,52
1603699059,97,24
1603700271,61,45
1603701246,68,57
1603703173,150,87
1603704844,80,58
1603705961,49,10
1603707142,55,72
1603708250,57,54
1603708444,16,0
1603709600,60,1
1603712044,328,156
1603715105,179,88
1603716263,69,64
1603717432,48,66
1603718708,75,2
1603720208,66,60
1603721653,69,76
1603722847,50,73
1603723992,38,1
1603725409,71,93
1603726446,52,73
1603729504,131,96
1603731004,85,49
1603732458,67,91
1603733645,55,71
1603735320,106,79
1603736705,76,4
1603738208,75,53
1603739885,101,77
1603741573,71,77
1603744445,122,138
1603746236,204,96
1603748044,96,66
1603750551,82,67
1603751872,61,77
1603754149,594,89
1603755242,0,22708
1603757195,22893,0
1603758844,61,23
1603760973,61,43
1603762446,54,63
1603766045,128,166
1603768423,81,59
1603770605,80,78
1603773244,85,122
1603775234,75,70
1603777307,61,67
1603779905,99,93
1603781416,40,90
1603782549,35,93
1603784045,73,85
1603786752,119,102
1603787646,24,89
1603789562,64,114
1603791245,47,141
1603792924,63,116
1603794277,55,4
1603795805,98,98
1603797459,55,132
1603799212,70,194
1603801127,110,115
1603802045,32,101
1603804782,108,156
1603805644,33,95
1603806874,43,46
1603808331,41,74
1603809245,23,68
1603811674,73,117
1603812953,61,97
1603814213,46,38
1603815904,95,85
1603816444,37,91
1603818258,113,103
1603820045,105,95
1603821860,101,112
1603823644,83,154
1603824740,0,21936
1603826504,22045,0
1603828208,67,83
1603830215,74,73
1603830844,27,84
1603832183,49,37
1603833905,84,87
1603834445,17,88
1603836635,72,87
1603838057,49,132
1603841644,157,192
1603843251,73,100
1603844707,69,2
1603845245,19,89
1603847216,81,102
1603848846,75,89
1603852444,130,201
1603856045,133,209
1603857870,63,109
1603859645,67,125
1603863246,112,200
1603866845,136,219
1603870445,200,240
1603874045,129,256
1603875303,42,42
1603877015,75,69
1603878668,83,91
1603880338,91,115
1603881246,62,96
1603884848,167,227
1603886142,87,34
1603887904,127,69
1603890325,132,218
1603891505,75,2
1603892045,31,70
1603893408,56,28
1603894839,63,57
1603895644,34,87
1603896889,72,29
1603898705,70,66
1603899244,36,76
1603902307,138,104
1603903808,53,87
1603905591,69,121
1603906445,35,87
1603910045,174,158
1603913104,128,80
1603914605,76,78
1603916212,62,138
1603917814,65,132
1603919668,74,78
1603920848,36,79
1603924444,155,891
1603926436,105,81
1603928045,75,69
1603931645,131,148
1603934076,103,72
1603935245,43,103
1603938844,150,153
1603941904,124,67
1603943938,71,139
1603945480,43,11
1603946044,12,77
1603949647,110,146
1603950926,41,14
1603952704,60,59
1603953995,49,60
1603956307,100,95
1603957806,62,77
1603959324,69,77
1603961274,92,75
1603962515,62,76
1603964912,199,85
1603967645,101,185
1603969474,104,90
1603970705,50,14
1603971821,42,148
1603974305,100,195
1603974844,23,197
1603976634,81,67
1603978444,79,72
1603981371,372,68
1603982045,23,68
1603983147,52,2
1603984966,93,60
1603985644,20,66
1603989245,126,197
1603990393,39,3
1603992845,77,200
1603994454,51,83
1603995907,41,6
1603996445,23,172
1603997636,44,5
1603999504,143,62
1604000044,26,66
1604002631,185,80
1604003644,50,112
1604004881,43,31
1604006038,42,57
1604007216,42,72
1604008729,50,72
1604010145,61,9
1604010844,66,64
1604012097,45,24
1604013267,88,71
1604018045,185,220
1604019365,43,22
1604021107,61,49
1604021644,7,64
1604024450,109,72
1604025244,21,69
1604026632,55,29
1604028308,287,52
1604029806,247,56
1604031234,41,68
1604032444,42,73
1604033723,37,29
1604036044,62,114
1604038311,74,68
1604039589,45,132
1604041129,79,93
1604042708,59,9
1604043246,21,71
1604044347,55,6
1604045639,60,85
1604046844,30,85
1604048484,84,97
1604050444,100,118
1604052205,81,82
1604054044,110,123
1604055578,66,105
1604057115,65,13
1604059791,165,238
1604061251,206,106
1604062422,155,1
1604063959,67,71
1604064852,39,93
1604066972,333,107
1604068448,223,65
1604070202,275,103
1604071505,69,0
1604072854,64,76
1604073986,51,68
1604075104,57,0
1604077173,102,161
1604078474,45,8
1604079245,36,78
1604080417,76,1
1604081591,100,82
1604082844,58,79
1604084183,78,32
1604085499,158,46
1604086791,55,83
1604089180,195,74
1604090045,36,64
1604091981,93,107
1604093645,53,76
1604094888,62,22
1604096704,75,81
1604097244,23,92
1604099425,148,75
1604100848,57,80
1604102361,57,88
1604103876,47,3
1604105213,56,66
1604106686,53,70
1604109005,70,79
1604110950,109,79
1604112604,66,67
1604113933,54,79
1604116438,90,69
1604118305,58,52
1604118849,27,59
1604121231,83,62
1604122447,34,64
1604123736,57,16
1604125235,51,47
1604126045,36,81
1604127180,46,0
1604128488,111,94
1604129644,42,59
1604133244,202,152
1604135788,107,184
1604136848,36,56
1604138211,49,21
1604139829,56,40
1604141405,61,92
1604143094,56,90
1604146961,132,157
1604147646,24,83
1604149911,82,312
1604151033,31,78
1604152192,39,2
1604153331,47,98
1604154846,41,79
1604156239,0,20503
1604157421,20539,0
1604158446,28,63
1604161289,97,70
1604162650,59,69
1604164761,170,65
1604165645,75,44
1604167580,152,70
1604168703,47,1
1604170205,79,127
1604172008,84,92
1604172845,0,20729
1604175359,20661,0
1604176447,46,61
1604177741,67,17
1604179259,70,37
1604183011,221,194
1604183644,37,98
1604186094,177,63
1604187244,51,80
1604188406,46,0
1604190305,88,81
1604190845,22,57
1604192548,50,51
1604194445,71,83
1604198045,150,433
1604200079,92,206
1604201645,44,48
1604205246,138,122
1604206358,29,1
1604207922,45,65
1604208845,26,54
1604210992,70,104
1604212445,43,70
1604213876,132,32
1604215434,103,57
1604216051,28,58
1604218952,171,80
1604219650,36,127
1604222274,114,91
1604223244,45,119
1604224729,107,81
1604226190,69,7
1604227805,58,65
1604229729,126,78
1604231407,65,84
1604234045,131,439
1604236108,79,340
1604237650,53,296
1604240704,140,344
1604241800,28,105
1604242950,41,86
1604244306,110,3
1604245804,282,73
1604247041,132,80
1604248444,139,55
1604250279,138,94
1604252045,88,94
1604255643,425,273
1604259244,456,254
1604260424,86,2
1604262304,134,84
1604265568,207,143
1604266453,99,61
1604269140,262,114
1604270767,123,98
1604272535,114,64
1604273646,59,51
1604274947,72,24
1604276401,95,41
1604277246,74,75
1604280844,272,157
1604281991,66,1
1604284445,143,140
1604288066,283,135
1604289954,132,66
1604291646,98,53
1604295246,172,137
1604298304,141,105
1604301903,219,258
1604302446,85,46
1604305485,203,111
1604306733,76,61
1604308009,53,75
1604309647,116,74
1604310762,71,1
1604312705,112,69
1604313978,79,85
1604315446,90,49
1604316854,80,73
1604319471,139,80
1604321409,104,56
1604322734,58,61
1604324044,63,61
1604325423,76,14
1604327646,100,127
1604330705,204,79
1604332208,77,55
1604333563,71,110
1604334844,58,133
1604337904,159,138
1604339405,83,93
1604341508,100,155
1604343005,60,67
1604344148,70,78
1604345393,163,85
1604346501,140,0
1604348468,92,98
1604350495,96,114
1604352305,172,89
1604352844,57,109
1604354011,74,0
1604355363,78,123
1604357405,99,98
1604359505,95,92
1604361006,61,85
1604363644,112,152
1604365162,64,76
1604366606,49,8
1604368205,62,87
1604368814,18,75
1604370044,78,1
1604371805,83,111
1604373229,68,83
1604374413,55,90
1604375962,76,69
1604377504,70,2
1604378046,25,69
1604379658,70,86
1604381106,49,1
1604382605,61,64
1604385244,130,301
1604388305,150,93
1604389806,98,156
1604391292,85,98
1604393407,112,116
1604396045,178,260
1604397962,106,148
1604399646,128,148
