DateTime,AddedIPs,RemovedIPs
1603405160,2,2
1603406078,1,0
1603408547,1,0
1603409677,0,2
1603411003,1,0
1603412647,3,7
1603413271,1,3
1603415203,8,5
1603416884,3,2
1603418262,1,0
1603419552,3,1
1603420475,1,1
1603424447,2,8
1603426435,2,1
1603427679,1,1
1603429699,2,4
1603431278,1,2
1603432755,3,1
1603434342,7,0
1603434877,5,2
1603438482,3,6
1603440097,1,0
1603441244,1,0
1603443040,2,2
1603444246,1,1
1603445463,0,2
1603446865,1,1
1603448164,2,0
1603449272,1,1
1603451073,1,1
1603452877,1,2
1603454658,1,2
1603456473,2,1
1603459534,1,1
1603460068,10,1
1603461927,7,0
1603463670,2,0
1603464940,2,2
1603466541,1,5
1603469664,0,1
1603470871,1,0
1603473359,1,2
1603474482,1,1
1603476891,2,1
1603478379,1,0
1603480590,0,1
1603481670,0,3
1603482918,1,0
1603484115,0,1
1603485265,0,1
1603488323,4,0
1603489833,1,2
1603492486,2,2
1603493752,1,0
1603495542,4,2
1603497033,1,1
1603498673,2,3
1603501464,6,4
1603503282,2,1
1603505863,0,3
1603506876,3,0
1603508801,3,0
1603510483,2,4
1603513199,3,2
1603515039,4,2
1603517676,4,7
1603518937,4,1
1603520445,1,2
1603521276,2,4
1603524874,9,1
1603527642,2,2
1603528468,2,0
1603529577,2,0
1603531538,2,3
1603532075,0,3
1603534894,3,0
1603538396,2,1
1603539268,1,0
1603542140,2,0
1603543834,1,1
1603546470,1,2
1603550072,1,2
1603553725,2,5
1603558233,0,3
1603559573,1,2
1603564474,1,4
1603567116,1,1
1603570855,2,1
1603571671,1,0
1603575273,1,1
1603577833,0,1
1603579839,0,1
1603581935,0,1
1603583433,2,3
1603586072,0,6
1603587796,2,2
1603589676,0,2
1603593277,1,5
1603596097,4,0
1603596877,1,1
1603598871,3,1
1603601439,4,2
1603604074,5,10
1603607673,1,6
1603610301,1,5
1603611276,1,1
1603613267,1,1
1603614876,1,1
1603617088,1,2
1603618470,1,5
1603620634,1,0
1603622071,3,2
1603624413,0,2
1603625668,1,2
1603627862,0,1
1603629275,0,2
1603631790,2,15
1603632863,2,2
1603634004,2,0
1603635222,1,2
1603636473,1,1
1603638549,1,0
1603640073,1,1
1603642044,2,0
1603643679,1,0
1603645430,0,2
1603646752,1,0
1603649765,3,3
1603651742,1,0
1603652920,1,0
1603654494,2,0
1603661685,3,1
1603662903,2,0
1603664736,0,2
1603665275,0,4
1603668344,0,2
1603669838,1,5
1603671937,0,4
1603672471,2,3
1603674984,4,0
1603678785,2,1
1603679676,1,2
1603681736,3,2
1603683279,0,2
1603686883,7,4
1603688194,3,3
1603689952,2,2
1603693201,9,8
1603694079,2,3
1603695222,2,0
1603697149,3,2
1603697677,0,3
1603699131,0,1
1603700311,4,0
1603701276,2,2
1603703200,2,2
1603704876,0,1
1603705994,1,0
1603707167,1,0
1603708289,1,2
1603708478,1,0
1603709628,2,0
1603712079,13,5
1603715140,7,1
1603717470,2,2
1603718752,1,0
1603720242,1,0
1603721687,1,1
1603722881,1,1
1603725452,2,0
1603726476,1,2
1603728269,1,1
1603729537,1,0
1603731039,3,1
1603733677,1,1
1603735368,1,0
1603738237,2,0
1603739920,3,1
1603741609,1,1
1603744471,2,4
1603746272,0,1
1603748077,1,0
1603750585,1,0
1603751905,0,2
1603754190,1,4
1603755257,1,0
1603757220,2,3
1603758874,3,0
1603761000,3,0
1603762481,2,0
1603766074,5,5
1603768461,6,1
1603770627,3,0
1603773270,4,7
1603775267,3,1
1603777348,1,0
1603779939,3,2
1603781455,2,0
1603782592,1,1
1603784076,2,0
1603786784,3,3
1603787677,1,1
1603789596,1,2
1603791284,2,5
1603792965,1,0
1603794320,1,0
1603797497,2,1
1603801165,2,0
1603804820,3,0
1603808365,0,5
1603809274,0,2
1603811762,1,1
1603813004,1,1
1603814246,2,0
1603815942,2,0
1603816474,0,3
1603818290,1,0
1603820074,1,1
1603821891,2,0
1603823672,3,1
1603824910,1,0
1603828241,2,2
1603830873,0,1
1603832228,2,1
1603833944,0,2
1603834479,1,0
1603836664,1,0
1603841678,4,2
1603843729,2,2
1603845297,3,0
1603847250,3,2
1603848878,3,0
1603852476,8,1
1603856076,7,3
1603859676,7,5
1603863276,3,8
1603866878,4,3
1603870473,8,5
1603874079,2,4
1603875328,1,0
1603878700,4,5
1603880377,3,1
1603881276,0,5
1603884877,4,9
1603886176,1,1
1603887940,0,1
1603890362,1,4
1603892078,0,1
1603893445,1,1
1603895681,0,1
1603898735,3,0
1603899278,0,1
1603902340,2,2
1603903837,0,1
1603905621,1,3
1603906475,2,3
1603910075,0,4
1603913137,4,1
1603914630,0,1
1603916241,0,2
1603917839,3,0
1603919740,0,1
1603920882,1,1
1603924470,3,1
1603926485,3,2
1603928078,1,3
1603931673,0,4
1603934155,7,2
1603935273,1,4
1603938872,3,7
1603941942,8,0
1603943974,2,2
1603945524,4,0
1603946081,1,3
1603949680,5,5
1603950974,2,0
1603952736,2,1
1603954049,1,1
1603956339,2,3
1603957841,2,3
1603959360,1,1
1603961297,4,1
1603962561,0,1
1603964942,2,4
1603967704,3,3
1603970741,3,3
1603971852,0,2
1603974874,3,12
1603976659,4,0
1603978470,2,0
1603981404,11,0
1603982077,1,1
1603985674,0,1
1603989275,3,1
1603992878,2,4
1603994857,2,1
1603996473,0,1
1603997702,0,1
1603999539,1,1
1604000079,0,1
1604002673,1,1
1604003673,3,0
1604004912,0,2
1604006076,0,3
1604007251,1,0
1604008761,0,3
1604010171,1,0
1604010873,0,3
1604012126,1,0
1604013298,0,1
1604018075,3,9
1604019401,2,0
1604021680,0,5
1604024487,3,1
1604025282,2,0
1604026664,3,1
1604029847,1,8
1604031269,2,2
1604032482,2,3
1604033757,3,1
1604036085,1,5
1604038360,3,2
1604039617,2,5
1604041169,6,1
1604042744,2,0
1604043280,0,2
1604044518,4,0
1604045680,3,3
1604046880,0,5
1604048545,2,3
1604050463,0,3
1604052255,0,1
1604054076,1,3
1604056106,0,3
1604059821,2,1
1604061287,1,1
1604064885,0,1
1604068479,1,2
1604071542,1,0
1604072885,2,0
1604074014,0,1
1604077251,2,1
1604079277,0,1
1604080497,0,1
1604081628,1,1
1604082869,0,3
1604084210,2,0
1604085519,0,2
1604086842,2,0
1604090075,0,3
1604092012,1,3
1604093673,1,1
1604096735,0,1
1604097275,0,5
1604099455,5,2
1604100882,0,1
1604102461,0,3
1604103906,2,0
1604105245,1,1
1604106711,1,2
1604109042,2,0
1604110978,0,2
1604112635,5,2
1604113962,2,3
1604116511,1,6
1604118345,3,2
1604118892,0,2
1604121268,3,6
1604122480,0,2
1604123781,0,1
1604125267,2,2
1604126072,0,1
1604128557,2,4
1604129670,0,2
1604133272,3,4
1604135819,1,3
1604136882,2,1
1604138254,1,1
1604139856,0,2
1604141441,1,1
1604143126,3,0
1604146986,4,4
1604149935,1,13
1604151088,0,3
1604152219,1,0
1604153356,1,0
1604161313,1,2
1604162680,0,2
1604164787,3,2
1604167605,0,1
1604170237,1,1
1604172043,2,0
1604172856,0,2
1604175392,2,1
1604179295,1,0
1604183036,2,1
1604186133,1,0
1604187279,0,2
1604188493,0,1
1604190343,1,1
1604190880,0,2
1604192575,1,0
1604194478,3,5
1604198077,3,5
1604200112,0,1
1604201674,1,3
1604205284,2,4
1604207957,3,2
1604208880,0,1
1604211031,0,5
1604212472,1,4
1604213940,3,3
1604215466,1,1
1604216083,0,1
1604219684,2,4
1604222304,5,0
1604224757,0,2
1604226217,3,0
1604227842,1,2
1604229764,0,3
1604231436,1,2
1604234074,1,0
1604240736,0,1
1604242231,0,2
1604244345,1,1
1604245832,2,1
1604247075,0,1
1604251336,1,3
1604252072,0,1
1604255674,1,2
1604259280,1,3
1604262340,1,1
1604265602,2,1
1604266492,1,0
1604269171,2,4
1604270798,1,1
1604272587,0,1
1604274996,0,2
1604276434,2,1
1604277286,2,0
1604280887,4,4
1604282018,1,0
1604284484,3,5
1604288119,5,3
1604289997,1,0
1604291679,3,1
1604295292,3,4
1604298325,2,1
1604301952,1,5
1604302487,1,0
1604305527,5,0
1604306782,2,3
1604308042,0,1
1604309679,0,1
1604310798,1,0
1604312744,3,2
1604314026,1,1
1604316889,0,3
1604319505,3,1
1604321440,9,0
1604322759,0,1
1604325469,0,1
1604327144,1,1
1604327680,0,1
1604330735,4,0
1604333590,0,1
1604334870,1,0
1604337941,3,0
1604339435,1,0
1604343037,2,1
1604344180,1,2
1604345434,3,2
1604346530,0,1
1604348496,1,0
1604352343,0,1
1604352880,0,1
1604354035,1,0
1604355400,3,0
1604357439,1,2
1604359538,1,1
1604361041,0,2
1604363675,2,1
1604365261,4,1
1604366634,1,0
1604368241,2,1
1604370075,1,1
1604371843,4,3
1604373282,3,0
1604376289,1,1
1604378078,1,1
1604381147,1,1
1604382641,1,1
1604385275,2,5
1604388345,3,2
1604389840,3,2
1604391387,1,1
1604393440,1,2
1604396087,6,2
1604398002,1,1
1604399695,3,1
