DateTime,Entries,UniqueIPs
1603497017,14909,14909
1603498648,14903,14903
1603501443,14888,14888
1603503263,14876,14876
1603505816,14876,14876
1603506860,14878,14878
1603508784,14885,14885
1603513181,14922,14922
1603515017,15023,15023
1603517659,14993,14993
1603518920,14995,14995
1603520428,14988,14988
1603521261,14977,14977
1603524856,14988,14988
1603527625,14948,14948
1603528455,14911,14911
1603529557,14911,14911
1603531518,14877,14877
1603532059,14837,14837
1603535655,14833,14833
1603538382,14808,14808
1603539254,14770,14770
1603542122,14769,14769
1603543816,14773,14773
1603546455,14749,14749
1603548248,14729,14729
1603550055,14717,14717
1603553713,14810,14810
1603555605,14789,14789
1603556717,14819,14819
1603558217,14840,14840
1603559560,14841,14841
1603561611,14846,14846
1603564456,14853,14853
1603567100,14870,14870
1603568054,14839,14839
1603570839,14831,14831
1603571657,14817,14817
1603575256,14817,14817
1603577796,14838,14838
1603579819,14845,14845
1603581920,14871,14871
1603583417,14880,14880
1603585481,14887,14887
1603586057,14851,14851
1603587774,14843,14843
1603589657,14813,14813
1603593258,14799,14799
1603596083,14831,14831
1603596858,14808,14808
1603598853,14804,14804
1603599978,14831,14831
1603601418,14814,14814
1603604058,14793,14793
1603607657,14776,14776
1603610282,14793,14793
1603611258,14772,14772
1603613240,14705,14705
1603614858,14717,14717
1603617065,14726,14726
1603618455,14728,14728
1603620612,14729,14729
1603622057,14764,14764
1603624392,14747,14747
1603625655,14722,14722
1603627837,14725,14725
1603629256,14714,14714
1603631763,14702,14702
1603633985,14712,14712
1603635208,14688,14688
1603636457,14670,14670
1603638534,14669,14669
1603640056,14646,14646
1603642019,14640,14640
1603643661,15114,15114
1603645391,15418,15418
1603646726,15561,15561
1603648206,15640,15640
1603649739,15788,15788
1603651722,15939,15939
1603652905,15998,15998
1603654479,16134,16134
1603658059,16317,16317
1603661662,16443,16443
1603662878,16481,16481
1603664718,16545,16545
1603665259,16507,16507
1603668320,16606,16606
1603669819,16613,16613
1603671917,16656,16656
1603672456,16647,16647
1603674965,16698,16698
1603676059,16677,16677
1603678770,16694,16694
1603679659,16670,16670
1603681720,16688,16688
1603683261,16686,16686
1603686865,16559,16559
1603688166,16581,16581
1603689921,16585,16585
1603693185,16606,16606
1603694062,16590,16590
1603695195,16611,16611
1603697127,16613,16613
1603697658,16590,16590
1603699074,16619,16619
1603700286,16624,16624
1603701258,16620,16620
1603703185,16677,16677
1603704860,16691,16691
1603705973,16721,16721
1603707154,16712,16712
1603708265,16713,16713
1603708460,16722,16722
1603709610,16748,16748
1603712062,16725,16725
1603715120,16757,16757
1603716277,16740,16740
1603717445,16720,16720
1603718724,16749,16749
1603720222,16727,16727
1603721667,16721,16721
1603722863,16695,16695
1603724006,16706,16706
1603725428,16659,16659
1603726459,16648,16648
1603728248,16640,16640
1603729517,16651,16651
1603731017,16663,16663
1603732471,16663,16663
1603733658,16655,16655
1603735338,16652,16652
1603736720,16689,16689
1603738221,16696,16696
1603739900,16687,16687
1603741586,16676,16676
1603744456,16664,16664
1603746249,16686,16686
1603748057,16673,16673
1603750562,16679,16679
1603751889,16681,16681
1603754163,16659,16659
1603757207,16624,16624
1603758857,16646,16646
1603760985,16661,16661
1603762460,16655,16655
1603766058,16615,16615
1603768438,16612,16612
1603772718,16614,16614
1603773255,16583,16583
1603775250,16587,16587
1603777319,16582,16582
1603779918,16597,16597
1603781430,16575,16575
1603782563,16539,16539
1603784058,16515,16515
1603786767,16521,16521
1603787660,16485,16485
1603789576,16450,16450
1603791263,16383,16383
1603792946,16371,16371
1603794295,16382,16382
1603795818,16353,16353
1603797472,16325,16325
1603799223,16260,16260
1603801142,16232,16232
1603802060,16185,16185
1603804794,16126,16126
1603805661,16075,16075
1603806898,16072,16072
1603808344,16080,16080
1603809259,16063,16063
1603811689,16069,16069
1603812978,16030,16030
1603814224,16023,16023
1603815921,16033,16033
1603816456,16008,16008
1603818272,16024,16024
1603820059,16029,16029
1603821873,16013,16013
1603823656,15995,15995
1603824892,16002,16002
1603826517,16017,16017
1603828219,16012,16012
1603830858,15977,15977
1603832207,15994,15994
1603833922,15974,15974
1603834459,15936,15936
1603836647,15929,15929
1603838072,15894,15894
1603841660,15857,15857
1603843712,15812,15812
1603845269,15798,15798
1603847228,15790,15790
1603848861,15761,15761
1603852458,15703,15703
1603856061,15681,15681
1603857892,15656,15656
1603859660,15636,15636
1603863260,15601,15601
1603866858,15558,15558
1603870456,15591,15591
1603874062,15483,15483
1603875313,15476,15476
1603878683,15427,15427
1603880350,15399,15399
1603881257,15393,15393
1603884859,15347,15347
1603886153,15358,15358
1603887921,15386,15386
1603890338,15351,15351
1603891521,15380,15380
1603892059,15356,15356
1603893422,15347,15347
1603894850,15354,15354
1603895661,15327,15327
1603896900,15341,15341
1603898719,15335,15335
1603899261,15321,15321
1603902322,15341,15341
1603903820,15326,15326
1603905602,15307,15307
1603906457,15283,15283
1603910056,15293,15293
1603913118,15318,15318
1603914616,15302,15302
1603916223,15262,15262
1603917825,15239,15239
1603919681,15226,15226
1603920862,15196,15196
1603924456,15193,15193
1603926458,15184,15184
1603928061,15179,15179
1603931657,15170,15170
1603934092,15165,15165
1603935259,15151,15151
1603938856,15153,15153
1603941920,15174,15174
1603943950,15133,15133
1603945494,15142,15142
1603946061,15104,15104
1603949659,15086,15086
1603950947,15099,15099
1603952718,15094,15094
1603954011,15087,15087
1603956321,15091,15091
1603957820,15075,15075
1603959335,15069,15069
1603962529,15060,15060
1603964925,15120,15120
1603967660,15074,15074
1603969485,15085,15085
1603970720,15088,15088
1603971833,15053,15053
1603974855,15022,15022
1603976647,15017,15017
1603978456,15002,15002
1603981383,15030,15030
1603982057,15002,15002
1603983160,15023,15023
1603984980,15028,15028
1603985658,15008,15008
1603989256,14975,14975
1603990405,14988,14988
1603992860,14928,14928
1603994839,14926,14926
1603996457,14905,14905
1603997648,14917,14917
1603999518,14926,14926
1604000059,14904,14904
1604002654,14920,14920
1604003657,14888,14888
1604004894,14910,14910
