DateTime,AddedIPs,RemovedIPs
1603333715,10,11
1603335665,9,15
1603337581,8,16
1603339461,9,0
1603341396,6,14
1603343346,9,15
1603347128,14,12
1603349079,13,19
1603352890,15,26
1603354837,10,20
1603356746,5,11
1603358666,8,0
1603360625,9,8
1603362496,12,7
1603365671,5,0
1603367537,6,6
1603369459,7,2
1603372337,7,18
1603374286,6,0
1603376186,3,11
1603378105,10,7
1603380051,8,6
1603385875,8,10
1603387707,7,0
1603389642,8,4
1603391584,7,2
1603393468,7,6
1603395384,10,8
1603397341,8,9
1603399279,6,4
1603401155,4,6
1603403087,5,21
1603404976,6,10
1603406900,5,14
1603408855,5,6
1603410737,5,3
1603414624,18,21
1603416528,9,4
1603418423,9,11
1603420399,10,20
1603422260,7,10
1603424208,3,11
1603426110,5,8
1603428063,15,16
1603429965,4,9
1603431854,5,13
1603435726,4,12
1603437616,6,1
1603439527,7,2
1603441495,12,6
1603443371,5,4
1603445540,6,7
1603447469,6,8
1603449405,7,4
1603451302,6,7
1603453222,3,0
1603455173,10,12
1603457074,12,14
1603458987,4,13
1603460930,7,11
1603462833,6,13
1603465698,3,27
1603467891,5,12
1603471744,5,29
1603473623,5,14
1603475570,10,19
1603477474,4,14
1603479410,4,10
1603481311,11,7
1603483263,5,7
1603485151,5,0
1603487308,16,6
1603489258,5,17
1603491171,14,13
1603495942,9,17
1603497923,13,19
1603499804,17,0
1603501704,8,3
1603503658,10,9
1603505543,4,4
1603507486,10,12
1603509421,12,16
1603511300,10,24
1603514183,10,17
1603516098,10,18
1603518048,7,20
1603519940,6,0
1603521863,5,15
1603527610,7,29
1603529570,5,13
1603531451,7,0
1603533382,15,12
1603535322,6,18
1603537234,3,0
1603539168,11,4
1603541067,6,11
1603542977,7,15
1603544913,12,8
1603546839,5,8
1603548752,6,5
1603550682,13,9
1603552578,3,6
1603554501,4,21
1603556473,7,9
1603558356,5,21
1603562227,10,21
1603564103,6,11
1603566048,6,6
1603567988,7,17
1603569866,7,7
1603571818,2,10
1603573702,9,10
1603576587,10,6
1603580494,9,20
1603582343,6,0
1603584301,7,19
1603586215,8,0
1603588100,6,7
1603590055,6,7
1603591980,12,9
1603593853,14,7
1603595818,7,14
1603597706,6,15
1603599897,6,14
1603601775,7,20
1603605646,6,16
1603608495,6,10
1603610424,7,9
1603612356,4,18
1603614250,6,7
1603616169,9,13
1603618111,5,17
1603620012,7,0
1603621930,9,9
1603623885,4,8
1603625793,3,10
1603627697,9,9
1603629647,8,14
1603631541,10,2
1603633483,11,7
1603635405,15,11
1603637290,11,15
1603639241,22,11
1603641164,5,18
1603643071,7,3
1603645929,2,12
1603647867,7,0
1603649831,9,10
1603651715,8,20
1603654624,10,6
1603656513,11,18
1603658506,6,3
1603660356,5,8
1603662263,5,10
1603664201,6,9
1603666145,8,17
1603668010,2,9
1603669979,13,10
1603672167,8,9
1603676902,3,13
1603678853,6,17
1603680782,9,21
1603682676,5,11
1603685540,11,8
1603687467,14,0
1603689406,4,12
1603691306,12,3
1603693266,9,8
1603695230,13,6
1603697057,7,0
1603698978,11,8
1603700919,12,14
1603702845,7,9
1603706681,10,0
1603708578,7,12
1603710526,7,8
1603712456,5,7
1603714351,7,11
1603718228,12,18
1603720127,4,9
1603722050,14,6
1603723943,9,14
1603725887,4,6
1603727783,6,6
1603729710,7,4
1603732578,8,4
1603734527,8,6
1603736456,9,13
1603738357,2,12
1603740302,6,12
1603742187,6,13
1603744109,5,14
1603746094,8,18
1603747943,6,10
1603749887,5,19
1603751821,5,10
1603753726,10,7
1603755630,6,6
1603757569,5,9
1603759494,9,13
1603761372,6,8
1603763318,12,10
1603765254,2,10
1603767127,5,8
1603772900,1,33
1603774860,20,13
1603776756,11,8
1603778695,8,0
1603780565,8,9
1603784420,7,18
1603786372,10,10
1603790191,6,15
1603792109,7,6
1603794054,15,8
1603795959,13,7
1603797872,3,8
1603799803,11,5
1603802703,6,8
1603804612,5,8
1603806680,21,10
1603808674,7,7
1603810621,11,10
1603812513,7,0
1603814441,6,8
1603818301,7,11
1603820184,8,11
1603822128,8,0
1603824010,9,12
1603825942,7,3
1603827888,14,3
1603829797,3,2
1603832668,4,10
1603835544,13,11
1603837473,9,17
1603839416,9,13
1603841309,6,11
1603843235,10,13
1603846152,10,9
1603848086,9,18
1603851889,7,30
1603853822,6,12
1603855705,8,19
1603859595,7,21
1603861489,5,18
1603863375,9,10
1603865334,5,15
1603867225,4,24
1603869153,21,13
1603871109,18,16
1603872977,15,0
1603876896,9,28
1603879712,6,13
1603881630,8,10
1603883543,14,12
1603885484,17,27
1603887426,8,11
1603890279,5,16
1603892181,6,12
1603894173,9,9
1603896029,0,8
1603897991,12,10
1603899883,7,1
1603901812,12,12
1603903706,3,7
1603905656,7,8
1603907607,9,3
1603909476,5,6
1603911416,11,8
1603914273,9,7
1603918106,10,10
1603920047,9,14
1603921985,4,9
1603923885,7,8
1603925803,5,13
1603927729,7,15
1603929619,8,7
1603931543,6,8
1603933557,23,10
1603935463,12,8
1603937314,12,6
1603939269,12,6
1603942170,8,13
1603944043,6,0
1603945955,8,11
1603947937,8,11
1603949822,3,17
1603951723,10,6
1603955538,13,36
1603957488,3,13
1603959406,10,14
1603962282,7,13
1603964207,3,14
1603966144,11,11
1603968035,12,13
1603969978,7,0
1603971899,7,18
1603973782,7,9
1603975699,5,26
1603977645,6,12
1603979550,8,19
1603981469,5,16
1603983403,4,14
1603985324,11,5
1603987231,8,3
1603989177,9,0
1603993009,5,22
1603995888,9,0
1603997818,9,33
1603999711,5,17
1604001645,14,14
1604003576,12,17
