DateTime,Entries,UniqueIPs
1603333715,16500,17211
1603335665,16494,17205
1603337581,16486,17197
1603339461,16494,17206
1603341396,16485,17198
1603343346,16479,17192
1603347128,16483,17194
1603349079,16474,17188
1603352890,16464,17177
1603354837,16455,17167
1603356746,16450,17161
1603358666,16457,17169
1603360625,16459,17170
1603362496,16465,17175
1603365671,16470,17180
1603367537,16470,17180
1603369459,16475,17185
1603372337,16465,17174
1603374286,16470,17180
1603376186,16462,17172
1603378105,16465,17175
1603380051,16467,17177
1603385875,16465,17175
1603387707,16472,17182
1603389642,16473,17186
1603391584,16478,17191
1603393468,16479,17192
1603395384,16481,17194
1603397341,16480,17193
1603399279,16482,17195
1603401155,16480,17193
1603403087,16465,17177
1603404976,16461,17173
1603406900,16454,17164
1603408855,16453,17163
1603410737,16455,17165
1603414624,16452,17162
1603416528,16457,17167
1603418423,16454,17165
1603420399,16444,17155
1603422260,16441,17152
1603424208,16435,17144
1603426110,16432,17141
1603428063,16432,17140
1603429965,16427,17135
1603431854,16419,17127
1603435726,16411,17119
1603437616,16416,17124
1603439527,16421,17129
1603441495,16426,17135
1603443371,16426,17136
1603445540,16425,17135
1603447469,16425,17133
1603449405,16428,17136
1603451302,16427,17135
1603453222,16430,17138
1603455173,16429,17136
1603457074,16427,17134
1603458987,16418,17125
1603460930,16414,17121
1603462833,16405,17114
1603465698,16381,17090
1603467891,16375,17083
1603471744,16352,17059
1603473623,16343,17050
1603475570,16334,17041
1603477474,16324,17031
1603479410,16318,17025
1603481311,16322,17029
1603483263,16321,17027
1603485151,16326,17032
1603487308,16333,17042
1603489258,16321,17030
1603491171,16322,17031
1603495942,16315,17023
1603497923,16307,17017
1603499804,16324,17034
1603501704,16329,17039
1603503658,16330,17040
1603505543,16330,17040
1603507486,16328,17038
1603509421,16325,17034
1603511300,16311,17020
1603514183,16304,17013
1603516098,16295,17005
1603518048,16283,16992
1603519940,16289,16998
1603521863,16279,16988
1603527610,16258,16966
1603529570,16253,16958
1603531451,16260,16965
1603533382,16263,16968
1603535322,16251,16956
1603537234,16254,16959
1603539168,16261,16966
1603541067,16256,16961
1603542977,16247,16953
1603544913,16249,16957
1603546839,16246,16954
1603548752,16247,16955
1603550682,16252,16959
1603552578,16248,16956
1603554501,16231,16939
1603556473,16229,16937
1603558356,16213,16921
1603562227,16202,16910
1603564103,16198,16905
1603566048,16198,16905
1603567988,16187,16895
1603569866,16188,16895
1603571818,16182,16887
1603573702,16182,16886
1603576587,16186,16890
1603580494,16175,16879
1603582343,16180,16885
1603584301,16168,16873
1603586215,16176,16881
1603588100,16175,16880
1603590055,16174,16879
1603591980,16179,16882
1603593853,16187,16889
1603595818,16180,16882
1603597706,16172,16873
1603599897,16164,16865
1603601775,16153,16852
1603605646,16144,16842
1603608495,16142,16838
1603610424,16142,16836
1603612356,16128,16822
1603614250,16127,16821
1603616169,16123,16817
1603618111,16114,16805
1603620012,16121,16812
1603621930,16122,16812
1603623885,16118,16808
1603625793,16112,16801
1603627697,16113,16801
1603629647,16107,16795
1603631541,16115,16803
1603633483,16118,16807
1603635405,16124,16811
1603637290,16120,16807
1603639241,16130,16818
1603641164,16117,16805
1603643071,16122,16809
1603645929,16113,16799
1603647867,16120,16806
1603649831,16119,16805
1603651715,16109,16793
1603654624,16113,16797
1603656513,16107,16790
1603658506,16109,16793
1603660356,16109,16790
1603662263,16103,16785
1603664201,16101,16782
1603666145,16092,16773
1603668010,16087,16766
1603669979,16090,16769
1603672167,16088,16768
1603676902,16078,16758
1603678853,16067,16747
1603680782,16055,16735
1603682676,16049,16729
1603685540,16052,16732
1603687467,16065,16746
1603689406,16057,16738
1603691306,16065,16747
1603693266,16066,16748
1603695230,16072,16755
1603697057,16079,16762
1603698978,16083,16765
1603700919,16080,16763
1603702845,16078,16761
1603706681,16088,16771
1603708578,16084,16766
1603710526,16083,16765
1603712456,16081,16763
1603714351,16077,16759
1603718228,16072,16753
1603720127,16067,16748
1603722050,16075,16756
1603723943,16070,16751
1603725887,16069,16749
1603727783,16069,16749
1603729710,16072,16752
1603732578,16076,16756
1603734527,16078,16758
1603736456,16074,16754
1603738357,16065,16744
1603740302,16060,16738
1603742187,16055,16731
1603744109,16045,16722
1603746094,16035,16712
1603747943,16030,16708
1603749887,16016,16694
1603751821,16012,16689
1603753726,16015,16692
1603755630,16013,16692
1603757569,16009,16688
1603759494,16006,16684
1603761372,16004,16682
1603763318,16006,16684
1603765254,15997,16676
1603767127,15993,16673
1603772900,15963,16641
1603774860,15969,16648
1603776756,15973,16651
1603778695,15981,16659
1603780565,15983,16658
1603784420,15975,16647
1603786372,15975,16647
