DateTime,AddedIPs,RemovedIPs
1587712141,2,4
1587715740,1,2
1587719331,1,8
1587726528,0,4
1587730133,0,2
1587733721,0,1
1587737323,1,1
1587740910,0,26
1587744507,2,5
1587748108,24,6
1587751695,2,5
1587755285,1,9
1587758871,0,8
1587762471,1,5
1587766055,0,12
1587769653,1,1
1587773251,2,2
1587776853,1,1
1587780455,2,1
1587784054,1,0
1587787655,1,1
1587791249,1,3
1587794850,2,0
1587798451,2,0
1587802051,1,2
1587809252,2,0
1587812857,2,0
1587816456,2,1
1587820060,1,1
1587823661,1,0
1587827244,0,23
1587834441,0,4
1587838031,1,8
1587841621,1,8
1587845212,4,10
1587848810,7,12
1587852423,9,0
1587856047,30,1
1587859663,10,2
1587863272,12,1
1587866878,2,1
1587870476,0,1
1587874072,0,4
1587881270,0,1
1587884866,0,1
1587888467,0,3
1587892065,0,1
1587895662,0,2
1587899262,0,1
1587906461,0,2
1587910059,0,1
1587913656,0,3
1587917252,0,3
1587920848,0,3
1587924445,0,1
1587928046,0,2
1587931644,0,1
1587935245,0,2
1587938837,0,7
1587942435,0,5
1587953232,0,3
1587956825,0,20
1587960424,0,1
1587964021,0,1
1587967620,0,3
1587971219,0,4
1587978415,0,3
1587989213,0,2
1587996410,0,1
1588000011,0,1
1588003609,0,2
1588010809,0,1
1588014405,0,2
1588021608,0,1
1588025205,0,1
1588028802,0,3
1588032399,0,1
1588036000,0,1
1588039599,0,2
1588043198,0,1
1588046795,0,11
1588050390,0,18
1588053988,0,2
1588057584,0,4
1588061179,0,2
1588064778,0,2
1588068377,0,3
1588071977,0,1
1588075574,0,2
1588079172,0,1
1588082768,0,1
1588086363,0,6
1588089965,0,1
1588093562,0,2
1588097160,0,2
1588100759,0,1
1588104357,0,3
1588111556,0,1
1588115166,0,2
1588118757,0,2
1588125954,0,1
1588129552,0,1
1588133152,0,4
1588136749,0,2
1588140349,0,5
1588143939,0,7
1588147528,0,27
1588154729,0,4
1588158326,0,3
1588161925,0,2
1588165522,0,4
1588169122,0,2
1588172719,0,2
1588176321,0,1
1588179916,0,3
1588183514,0,12
1588187112,0,6
1588190708,0,3
1588194303,0,2
1588197901,0,4
1588201500,0,2
1588205099,0,3
1588212297,0,4
1588215897,0,1
1588219496,0,4
1588223092,0,5
1588226691,0,1
1588237483,0,11
1588241079,0,3
1588244676,0,1
1588248271,0,5
1588251869,0,3
1588255464,0,3
1588259060,0,3
1588262644,0,30
1588266242,0,3
1588269840,0,2
1588273437,0,4
1588277031,0,4
1588280629,0,3
1588284226,0,3
1588287818,0,3
1588291415,0,3
1588295016,0,1
1588302214,0,3
1588305811,0,4
1588309408,0,4
1588313002,0,5
1588316603,0,4
1588320201,0,1
1588323799,0,2
1588330997,0,2
1588334593,0,4
1588338192,0,2
1588341791,0,1
1588348993,0,1
1588352576,0,30
1588356174,0,5
1588359771,0,3
1588363368,0,2
1588370566,0,3
1588374164,0,5
1588377761,0,3
1588381358,0,4
1588384958,0,1
1588388555,0,4
1588392156,0,8
1588395752,0,3
1588399349,0,2
1588402947,0,4
1588406544,0,3
1588410143,0,2
1588413740,0,3
1588417336,0,3
1588420929,0,10
1588424525,0,3
1588428126,0,2
1588431718,0,8
1588435315,0,6
1588438914,0,2
1588442513,0,3
1588446111,0,1
1588449704,0,6
1588453291,0,10
1588456881,0,9
1588460453,0,39
1588464033,0,16
1588467628,0,21
1603076404,14,7
1603080005,10,0
1603083606,9,0
1603087207,5,0
1603090806,3,0
1603094408,7,0
1603098008,6,0
1603101609,3,0
1603105209,2,0
1603108809,5,0
1603112410,4,0
1603116010,7,0
1603119612,16,0
1603123325,3,0
1603126812,2,0
1603130412,3,0
1603134014,6,0
1603137614,7,0
1603141214,8,0
1603144814,1,0
1603148415,3,0
1603152015,5,0
1603155618,20,0
1603159219,5,0
1603162819,5,0
1603166418,2,0
1603170018,2,0
1603173619,4,0
1603177220,1,0
1603180818,2,0
1603184419,4,0
1603188019,3,0
1603191619,2,0
1603195220,4,0
1603198822,26,0
1603202422,1,0
1603206022,5,0
1603209623,3,0
1603213223,4,0
1603224023,2,0
1603227623,1,0
1603231223,1,0
1603234824,2,0
1603238424,3,0
1603245626,24,0
1603249227,1,0
1603252826,3,0
1603260026,3,0
1603267226,2,0
1603270828,11,0
1603281628,3,0
1603285228,1,0
1603288830,1,0
1603292428,2,0
1603299629,8,0
1603303230,2,0
1603314030,2,0
1603317630,2,0
1603328431,2,0
1603335630,1,0
1603339230,4,0
1603342830,4,0
1603346431,1,0
1603350031,2,0
1603353630,2,0
1603360833,23,0
1603364434,1,0
1603368033,4,0
1603371633,2,0
1603375233,1,0
1603378834,1,0
1603386034,1,0
1603389634,1,0
1603393235,3,0
1603396834,2,0
1603400435,4,0
1603404035,1,0
1603411234,1,0
1603414835,3,0
1603425635,3,0
1603429235,1,0
1603436436,5,0
1603440035,3,0
1603443637,3,0
1603450837,3,0
1603465236,1,0
1603476037,2,0
1603479637,2,0
1603483236,1,0
1603486843,5,0
1603494038,2,0
1603497638,1,0
1603504838,3,0
1603508437,1,0
1603512038,1,0
1603519238,2,0
1603526439,8,0
1603530040,3,1
1603533639,6,0
1603537240,4,0
1603540840,7,1
1603544441,8,0
1603548041,3,0
1603551641,3,0
1603555242,1,0
1603558842,3,0
1603562443,7,0
1603569642,1,0
1603573227,2,0
1603576827,2,0
1603580426,1,0
1603587628,2,0
1603594826,2,0
1603598427,3,0
1603602026,1,0
1603605626,3,0
1603609228,26,0
1603612828,2,0
1603620028,1,0
1603623629,1,0
1603630828,4,0
1603634428,1,0
1603638028,0,1
1603641629,1,1
1603645229,1,0
1603648829,5,0
1603652429,2,0
1603656028,0,1
1603659628,2,0
1603663229,1,1
1603666829,3,0
1603674030,1,0
1603681229,3,0
1603684830,2,0
1603688429,0,1
1603692030,1,0
1603699228,0,1
1603702830,2,0
1603710030,0,1
1603713629,1,1
1603717232,1,0
1603720830,1,1
1603724431,2,2
1603728030,1,1
1603731629,0,2
1603735229,2,0
1603738830,4,5
1603742431,2,3
1603746030,4,6
1603749630,0,2
1603753229,1,0
1603756831,1,0
1603760430,24,1
1603764030,2,1
1603767631,3,2
1603771232,10,1
1603774831,0,1
1603778431,1,0
1603782031,3,0
1603785630,2,0
1603789231,3,2
1603792832,6,2
1603796431,3,1
1603800032,0,4
1603803631,6,24
1603807231,1,1
1603810831,0,2
1603814429,1,0
1603818031,2,2
1603821632,3,0
1603825231,1,0
1603828831,1,0
1603832431,3,1
1603836030,5,0
1603839632,4,0
1603843231,2,1
1603846831,7,2
1603850431,5,20
1603854031,5,1
1603857632,11,2
1603861232,7,0
1603864833,11,1
1603868431,2,1
1603872033,1,0
1603875633,19,9
1603879232,12,1
1603882833,1,0
1603886433,0,1
1603890034,0,2
1603893634,3,0
1603908863,3,3
1603922466,3,1
1603926066,1,0
1603936867,4,1
1603944066,5,3
1603947665,7,1
1603951266,3,0
1603954865,3,1
1603958466,6,0
1603962067,7,1
1603965668,23,23
1603972867,2,2
1603976467,4,1
1603983667,5,4
1603987235,3,1
1603990838,2,2
1603994436,3,0
1603998038,1,3
1604001637,0,1
1604005237,4,1
1604008835,2,3
1604012436,1,2
1604016038,4,2
1604019638,2,1
1604023237,2,1
1604026835,1,1
1604030436,2,0
1604034038,3,1
1604037636,2,1
1604041238,0,2
1604044835,2,3
1604048438,1,1
1604052037,4,3
1604055635,2,2
1604059237,0,2
1604062836,2,1
1604066439,1,0
1604070038,3,1
1604073637,2,0
1604077235,1,0
1604080839,1,2
1604084437,2,1
1604091636,3,4
1604095239,13,0
1604098837,8,1
1604102438,1,2
1604106038,1,0
1604109639,3,1
1604113238,2,1
1604116836,2,1
1604120439,1,0
1604124038,1,2
1604127638,2,0
1604131238,0,8
1604134836,2,3
1604138438,1,4
1604142036,0,3
1604145636,4,5
1604149236,2,7
1604152836,1,2
1604156436,1,2
1604160037,1,1
1604163638,1,4
1604167235,3,5
1604170836,2,1
1604178038,3,1
1604181636,0,1
1604185238,21,0
1604188837,1,0
1604192438,4,3
1604199639,6,1
1604203237,1,0
1604206839,4,0
1604210437,1,2
1604214038,6,22
1604217636,0,2
1604221237,1,0
1604224840,3,0
1604228436,5,1
1604232038,1,0
1604235637,4,3
1604239236,2,1
1604242839,2,3
1604246439,0,2
1604250039,1,0
1604253639,1,4
1604257237,2,2
1604260839,1,2
1604264438,3,3
1604268037,1,2
1604271637,0,6
1604275237,1,0
1604278838,2,2
1604282438,1,0
1604286038,0,1
1604289639,26,1
1604296839,2,1
1604300438,1,0
1604307641,3,3
1604311239,2,0
1604314838,0,1
1604318437,1,0
1604322038,1,1
1604325640,0,1
1604332839,2,1
1604340039,1,0
1604343638,1,3
1604347237,0,3
1604350839,0,2
1604354438,0,1
1604361641,1,3
1604365237,6,26
1604368837,1,1
1604372436,0,1
1604376038,3,6
1604379640,22,0
1604383240,3,1
1604386840,2,2
1604390438,4,1
1604394038,0,3
1604397640,2,3
1604401238,0,1
