DateTime,AddedIPs,RemovedIPs
1587416779,1,2
1587420379,0,1
1587427577,0,1
1587431175,1,1
1587434774,5,3
1587438377,2,1
1587441978,8,0
1587445584,20,0
1587449182,0,1
1587452773,1,25
1587456373,1,1
1587459972,2,1
1587463570,0,1
1587467172,2,1
1587481574,1,0
1587485170,0,3
1587488772,2,0
1587492369,1,2
1587495972,2,0
1587499570,0,1
1587503174,3,1
1587506775,0,1
1587510374,1,1
1587513975,2,2
1587521177,1,0
1587524776,0,1
1587528376,1,1
1587531974,1,1
1587535573,1,1
1587539168,4,27
1587542776,21,1
1587549977,3,0
1587553581,4,1
1587557184,5,1
1587560779,2,3
1587564379,1,1
1587567980,2,1
1587571579,1,0
1587575180,1,0
1587578778,2,2
1587589584,2,0
1587593183,0,1
1587596779,0,2
1587603980,0,2
1587607580,2,0
1587611177,0,3
1587614775,0,1
1587618376,1,0
1587621974,0,2
1587625575,2,0
1587629170,3,25
1587632770,0,1
1587639967,0,2
1587643566,0,1
1587647164,0,5
1587650762,0,3
1587654355,0,15
1587657960,20,6
1587661555,1,13
1587665148,0,6
1587668744,0,11
1587672341,0,14
1587675943,2,0
1587679543,1,1
1587683144,1,0
1587686745,1,0
1587690346,1,0
1587693932,1,24
1587697534,3,0
1587704733,1,2
1587708339,1,1
1587711930,2,3
1587715533,1,0
1587719131,0,1
1587726331,0,2
1587729928,0,1
1587733528,0,1
1587737128,1,1
1587740718,0,25
1587744313,0,5
1587747914,24,6
1587751504,2,5
1587755092,0,9
1587758677,0,8
1587762271,0,4
1587765859,0,12
1587769454,0,1
1587773056,2,1
1587776658,1,1
1587780260,2,1
1587787458,1,1
1587791057,1,1
1587798257,1,0
1587801859,1,0
1587809058,1,0
1587812663,2,0
1587816262,2,1
1587819864,0,1
1587823464,1,0
1587827051,0,22
1587834251,0,1
1587845058,4,0
1587848667,7,1
1587852278,9,0
1587855901,29,1
1587859521,9,2
1587863127,11,1
1587866730,2,1
1587870329,0,1
1587873929,0,2
1587888327,0,2
1587891926,0,1
1587895525,0,1
1587906325,0,2
1587909923,0,1
1587913520,0,2
1587927923,0,1
1587935120,0,2
1587938716,0,4
1587942320,0,2
1587953118,0,2
1587956708,0,20
1587960308,0,1
1587963906,0,1
1587967507,0,3
1587971105,0,2
1587978303,0,1
1587989102,0,1
1587996300,0,1
1588003499,0,1
1588010697,0,1
1588014295,0,1
1588021496,0,1
1588025095,0,1
1588028693,0,3
1588035893,0,1
1588039496,0,1
1588043091,0,1
1588046688,0,9
1588050285,0,18
1588053882,0,2
1588057483,0,2
1588061076,0,2
1588064675,0,2
1588068274,0,2
1588071874,0,1
1588075472,0,2
1588082666,0,1
1588086262,0,4
1588089864,0,1
1588093465,0,1
1588097059,0,1
1588100658,0,1
1588104256,0,1
1588115060,0,2
1588118658,0,1
1588125854,0,1
1588129454,0,1
1588133055,0,2
1588136654,0,2
1588140253,0,1
1588143847,0,6
1588147434,0,27
1588154634,0,3
1588158233,0,3
1588161831,0,1
1588165430,0,3
1588169029,0,2
1588172627,0,2
1588176227,0,1
1588179826,0,1
1588183425,0,5
1588190622,0,1
1588194220,0,2
1588197817,0,3
1588201417,0,1
1588212216,0,1
1588215817,0,1
1588219415,0,2
1588223015,0,2
1588237411,0,6
1588248214,0,1
1588251811,0,2
1588259007,0,2
1588262594,0,28
1588266193,0,1
1588273391,0,1
1588280590,0,2
1588284190,0,1
1588287789,0,1
1588291386,0,3
1588302184,0,3
1588305781,0,2
1588309380,0,3
1588312976,0,3
1588316575,0,2
1588320175,0,1
1588330973,0,1
1588334569,0,4
1588338166,0,2
1588341766,0,1
1588352552,0,30
1588356151,0,5
1588359747,0,2
1588363346,0,2
1588370544,0,2
1588374144,0,4
1588377739,0,3
1588381338,0,3
1588388538,0,2
1588392137,0,1
1588395737,0,3
1588399334,0,2
1588402932,0,2
1588406533,0,3
1588410128,0,2
1588413729,0,2
1588417325,0,3
1588420914,0,7
1588424516,0,2
1588428115,0,2
1588431707,0,9
1588435304,0,3
1588438904,0,2
1588442501,0,2
1588446101,0,1
1588449693,0,6
1588453280,0,10
1588456870,0,8
1588460444,0,38
1588464027,0,14
1588467624,0,11
1603083603,4,2
1603087203,1,0
1603090803,1,0
1603094404,4,0
1603098004,3,0
1603101604,1,0
1603112405,1,0
1603116004,1,0
1603119605,4,0
1603123236,1,0
1603130405,2,0
1603134005,3,0
1603137606,2,0
1603141206,4,0
1603144806,1,0
1603148407,2,0
1603152006,5,0
1603155608,5,0
1603162808,3,0
1603166407,2,0
1603170009,1,0
1603173608,1,0
1603177209,1,0
1603184408,3,0
1603188009,3,0
1603191608,1,0
1603195209,4,0
1603198811,24,0
1603206011,3,0
1603209612,2,0
1603213212,3,0
1603224012,1,0
1603227612,1,0
1603231212,1,0
1603234812,2,0
1603238412,1,0
1603245615,24,0
1603249215,1,0
1603252814,3,0
1603260015,3,0
1603267214,1,0
1603270815,2,0
1603281616,3,0
1603285215,1,0
1603288816,1,0
1603292416,2,0
1603303216,2,0
1603314017,2,0
1603317617,1,0
1603328417,2,0
1603339217,2,0
1603342817,1,0
1603350017,1,0
1603360819,23,0
1603371619,2,0
1603375218,1,0
1603378820,1,0
1603382420,1,0
1603386020,1,0
1603389621,1,0
1603393220,2,0
1603400420,2,0
1603411220,1,0
1603414821,2,0
1603425620,3,0
1603429220,1,0
1603436421,4,0
1603440021,4,0
1603443621,1,0
1603450822,2,0
1603465221,1,0
1603468822,1,0
1603476022,2,0
1603479622,1,0
1603483221,1,0
1603486829,4,0
1603494023,2,0
1603497623,2,0
1603504824,3,0
1603508422,1,0
1603512023,1,0
1603519223,2,0
1603526424,8,0
1603530024,3,0
1603533625,6,0
1603537226,4,0
1603540825,6,0
1603544426,8,0
1603548026,3,0
1603551626,2,0
1603555227,1,0
1603558828,3,0
1603562428,7,0
1603573219,2,0
1603584018,3,0
1603587619,1,0
1603594818,1,0
1603598417,2,0
1603605617,2,0
1603609219,24,0
1603612819,1,0
1603623620,1,0
1603630819,2,0
1603634419,1,0
1603638018,1,1
1603648819,2,0
1603652420,1,0
1603659620,1,0
1603666819,2,0
1603670420,1,0
1603674021,1,0
1603681219,1,0
1603684819,1,0
1603688420,0,1
1603692020,1,0
1603699219,0,1
1603702820,2,0
1603710019,0,1
1603713621,1,0
1603717222,1,0
1603720821,1,1
1603724421,0,2
1603728021,0,1
1603731621,0,2
1603735219,1,0
1603738820,3,5
1603742421,1,1
1603746021,2,2
1603749620,0,1
1603756821,1,0
1603760420,22,2
1603767622,3,2
1603771221,5,1
1603774821,0,1
1603778421,0,1
1603782021,3,0
1603785620,1,0
1603789222,0,2
1603792822,4,2
1603796421,3,0
1603800022,0,3
1603803620,4,24
1603807221,1,0
1603810821,0,1
1603814420,2,0
1603818021,0,2
1603825221,1,0
1603828821,1,0
1603832420,0,1
1603836021,4,0
1603839621,4,0
1603843220,2,1
1603846820,2,1
1603850421,4,21
1603854020,4,0
1603857621,11,2
1603861221,7,0
1603864821,11,1
1603868420,2,0
1603872022,1,0
1603875622,13,0
1603879222,12,1
1603882823,2,0
1603886422,0,1
1603890024,0,1
1603893623,1,0
1603908863,2,2
1603915255,1,1
1603936856,3,1
1603944055,1,2
1603947654,2,0
1603951255,1,0
1603954855,3,0
1603958455,5,0
1603962056,3,0
1603965656,21,22
1603969256,1,0
1603983655,3,3
1603987223,3,1
1603990823,1,1
1603994424,1,0
1604008825,2,1
1604016026,2,2
1604019625,1,1
1604023225,2,1
1604026824,0,1
1604030424,1,0
1604034025,3,1
1604037626,2,1
1604041224,1,2
1604044825,2,3
