DateTime,AddedIPs,RemovedIPs
1587773553,2,0
1587777166,40,4
1587780769,3,2
1587784385,0,1
1587787955,1,2
1587791569,2,2
1587795177,1,1
1587798759,0,1
1587802364,1,0
1587805972,1,0
1587809581,1,0
1587813160,0,1
1587816786,1,1
1587820370,3,1
1587823969,2,1
1587827573,2,1
1587831178,10,3
1587834811,2,4
1587838405,3,2
1587841996,5,3
1587849163,2,39
1587856368,2,3
1587863563,4,2
1587867162,0,2
1587870762,0,1
1587874355,0,2
1587877954,0,2
1587892354,0,2
1587895955,0,1
1587899555,0,2
1587903164,0,3
1587906751,0,2
1587910363,0,1
1587913948,0,3
1587917537,0,1
1587921149,0,4
1587924754,0,6
1587928338,0,1
1587931950,0,2
1587935530,0,2
1587946355,0,2
1587949931,0,1
1587953538,0,4
1587957121,0,4
1587960718,0,6
1587964301,0,9
1587967915,0,2
1587971496,0,1
1587975111,0,2
1587978698,0,1
1587982297,0,1
1587985892,0,35
1587989476,0,2
1587993072,0,4
1587996690,0,1
1588000275,0,2
1588003891,0,1
1588007476,0,2
1588011074,0,4
1588014673,0,1
1588018294,0,1
1588021879,0,2
1588025464,0,3
1588029058,0,3
1588036271,0,1
1588047060,0,1
1588050659,0,1
1588054265,0,2
1588061452,0,4
1588065061,0,3
1588072253,0,5
1588079433,0,51
1588083028,0,3
1588086626,0,2
1588090224,0,1
1588097419,0,6
1588101019,0,1
1588104612,0,3
1588108220,0,2
1588111829,0,2
1588115416,0,5
1588119001,0,4
1588122619,0,2
1588126197,0,1
1588129807,0,2
1588133385,0,4
1588137003,0,4
1588140589,0,2
1588144302,0,5
1588147776,0,1
1588154974,0,2
1588158592,0,2
1588165792,0,3
1588169369,0,2
1588172971,0,44
1588176557,0,4
1588180286,0,4
1588187373,0,2
1588190949,0,1
1588198126,0,43
1588201735,0,15
1588212499,0,71
1588216112,0,2
1588219690,0,1
1588223307,0,2
1588226888,0,3
1588237682,0,6
1588241271,0,4
1588244877,0,2
1588248723,0,2
1588252066,0,1
1588262891,0,2
1588266467,0,2
1588270176,0,5
1588273653,0,5
1588277263,0,3
1588280869,0,5
1588284438,0,7
1588288032,0,75
1588291623,0,2
1588295202,0,3
1588298817,0,6
1588302404,0,7
1588305981,0,1
1588309595,0,3
1588313194,0,4
1588316780,0,1
1588320396,0,7
1588323993,0,2
1588327577,0,3
1588331181,0,6
1588334775,0,3
1588338352,0,6
1588341972,0,4
1588345646,0,3
1588349146,0,6
1588352761,0,3
1588356361,0,4
1588359929,0,12
1588363552,0,4
1588367237,0,3
1588370716,0,5
1588374417,0,4
1588377927,0,9
1588381479,0,86
1588385086,0,7
1588388789,0,5
1588392254,0,7
1588395964,0,7
1588399524,0,7
1588403032,0,8
1588406867,0,4
1588410219,0,5
1588413838,0,6
1588417528,0,6
1588421023,0,7
1588424719,0,7
1588428221,0,5
1588431919,0,6
1588435412,0,8
1588439086,0,12
1588442721,0,13
1588446283,0,10
1588449782,0,21
1588453402,0,13
1588457043,0,11
1588460613,0,7
1588464436,0,20
1588468014,0,24
1603076405,24,33
1603080006,12,0
1603083607,8,0
1603087208,6,0
1603090808,5,0
1603094409,6,0
1603098016,78,0
1603101616,5,0
1603105216,2,0
1603108816,6,0
1603112418,3,0
1603116017,3,0
1603119618,2,0
1603123371,7,0
1603126819,6,0
1603130419,9,0
1603134020,5,0
1603137621,2,0
1603141221,6,0
1603144821,5,0
1603148422,7,0
1603152022,6,0
1603155623,5,0
1603159224,2,0
1603162824,8,0
1603166424,8,0
1603170024,2,0
1603173625,4,0
1603177226,5,0
1603184426,6,0
1603188026,1,0
1603191626,6,0
1603195226,1,0
1603198827,4,0
1603206027,3,0
1603209628,7,0
1603213227,3,0
1603216829,4,0
1603220428,4,0
1603224028,3,0
1603227629,3,0
1603231229,3,0
1603234830,11,0
1603238431,4,0
1603242031,10,0
1603245632,5,0
1603249232,2,0
1603252832,2,0
1603256433,3,0
1603260037,62,0
1603263639,2,0
1603267237,5,0
