DateTime,Entries,UniqueIPs
1602614882,6597,6597
1602618724,6593,6593
1602622562,6570,6570
1602626406,6569,6569
1602628322,1227,1227
1602630242,6571,6571
1602632162,6613,6613
1602636002,6608,6608
1602639842,6627,6627
1602643682,6619,6619
1602647522,6621,6621
1602651363,6634,6634
1602655211,6633,6633
1602657124,6630,6630
1602660963,6634,6634
1602664802,6628,6628
1602668645,6621,6621
1602672484,6620,6620
1602676323,6618,6618
1602680162,6615,6615
1602684003,6604,6604
1602685922,6599,6599
1602689762,6605,6605
1602691683,6602,6602
1602695763,6610,6610
1602701521,6602,6602
1602707282,6596,6596
1602711122,6592,6592
1602713041,6589,6589
1602718802,6627,6627
1602722884,6616,6616
1602726962,6640,6640
1602730811,6625,6625
1602732722,6628,6628
1602736803,6624,6624
1602740642,6631,6631
1602744482,6618,6618
1602748322,6621,6621
1602752162,6620,6620
1602756005,6615,6615
1602757922,6620,6620
1602759842,6611,6611
1602761763,6605,6605
1602765604,6600,6600
1602769441,6599,6599
1602773521,6595,6595
1602777362,6591,6591
1602779282,6594,6594
1602785043,6603,6603
1602787202,6596,6596
1602791044,6592,6592
1602794882,6624,6624
1602796802,6582,6582
1602798722,6583,6583
1602800643,6577,6577
1602806408,6587,6587
1602808322,6588,6588
1602812165,6609,6609
1602816002,6597,6597
1602819842,6589,6589
1602823682,6587,6587
1602827523,6597,6597
1602831362,6599,6599
1602833282,6599,6599
1602837121,6250,6250
1602839043,6595,6595
1602840962,6597,6597
1602844806,6591,6591
1602846964,6580,6580
1602850803,6579,6579
1602856562,6587,6587
1602860403,6595,6595
1602864241,6583,6583
1602866163,6588,6588
1602870003,6586,6586
1602873843,6582,6582
1602877682,6572,6572
1602881523,6569,6569
1602885363,6477,6477
1602889203,6469,6469
1602891122,6511,6511
1602894962,6514,6514
1602896882,6533,6533
1602902642,6529,6529
1602906482,6518,6518
1602910321,6571,6571
1602914163,6589,6589
1602916083,6587,6587
1602920163,6593,6593
1602924004,6596,6596
1602927843,6582,6582
1602931682,6573,6573
1602939361,6567,6567
1602941284,6565,6565
1602945122,6566,6566
1602948962,6557,6557
1602952803,6566,6566
1602956642,6562,6562
1602960481,6564,6564
1602964322,6546,6546
1602966243,6542,6542
1602972003,6541,6541
1602973921,6538,6538
1602977761,6578,6578
1602981602,6564,6564
1602985442,6612,6612
1602989283,6594,6594
1602993122,6586,6586
1602996962,6580,6580
1603000804,6586,6586
1603002722,6577,6577
1603006562,6581,6581
1603010403,6575,6575
1603014241,6579,6579
1603018082,6577,6577
1603021922,6564,6564
1603025762,6561,6561
1603029609,6571,6571
1603031523,6556,6556
1603035362,6551,6551
1603039202,6557,6557
1603043044,6558,6558
1603046882,6550,6550
1603050722,6535,6535
1603054564,6521,6521
1603058410,6531,6531
1603060322,6524,6524
1603064162,6560,6560
1603068002,6565,6565
1603071842,6584,6584
1603075683,6573,6573
1603079523,6573,6573
1603083362,6572,6572
1603087204,6579,6579
1603089122,6579,6579
1603092962,6583,6583
1603096802,6575,6575
1603100642,6569,6569
1603104483,6555,6555
1603108324,6538,6538
1603112162,6533,6533
1603114084,6540,6540
1603116242,6547,6547
1603118162,6533,6533
1603120081,6547,6547
1603122002,6539,6539
1603123922,6554,6554
1603129682,6561,6561
1603133523,6549,6549
1603139282,6538,6538
1603141205,6467,6467
1603143123,6471,6471
1603146962,6467,6467
1603150803,6502,6502
1603154642,6498,6498
1603158484,6514,6514
1603162323,6516,6516
1603166163,6515,6515
1603170003,6516,6516
1603171922,6517,6517
1603175762,6516,6516
1603181522,6513,6513
1603183442,6505,6505
1603187282,6498,6498
1603191123,6511,6511
1603195210,6504,6504
1603197124,6481,6481
1603201202,6475,6475
1603205044,6481,6481
1603206963,6474,6474
1603212722,6477,6477
1603216562,6467,6467
1603220406,6469,6469
1603222323,6464,6464
1603226403,6442,6442
1603230242,6444,6444
1603234082,6446,6446
1603237922,6483,6483
1603241762,6478,6478
1603245605,6505,6505
1603247524,6472,6472
1603251362,6484,6484
1603255202,6486,6486
1603259043,6491,6491
1603262883,6488,6488
1603266722,6494,6494
1603270564,6468,6468
1603274406,6485,6485
1603276323,6481,6481
1603280163,6485,6485
1603282083,6478,6478
1603284004,6465,6465
1603288083,6470,6470
1603291923,6471,6471
1603295762,6459,6459
1603301523,6404,6404
1603305362,6412,6412
1603309202,6404,6404
1603313044,6397,6397
1603316882,6400,6400
1603318803,6384,6384
1603324563,6431,6431
1603328405,6433,6433
1603330323,6453,6453
1603334162,6440,6440
1603336084,6434,6434
1603341842,6427,6427
1603343762,6436,6436
1603347602,6428,6428
1603353363,6400,6400
1603357210,6427,6427
1603359122,6423,6423
1603361042,6419,6419
1603366804,6417,6417
1603370642,6402,6402
1603374723,6409,6409
1603378564,6416,6416
1603382409,6420,6420
1603386244,6413,6413
1603388162,6409,6409
1603392003,6412,6412
1603393924,6409,6409
1603395843,6411,6411
1603399684,6399,6399
1603403523,6400,6400
1603407363,6403,6403
1603411207,6438,6438
1603413122,6428,6428
1603415042,6456,6456
1603420802,6452,6452
1603424642,6441,6441
1603428481,6430,6430
1603432321,6427,6427
1603436163,6427,6427
1603440242,6435,6435
1603442163,6430,6430
1603446002,6434,6434
1603449843,6427,6427
1603453922,6419,6419
1603457762,6416,6416
1603461610,6427,6427
1603463522,6422,6422
1603467362,6424,6424
1603471202,6429,6429
1603475043,6425,6425
1603478883,6437,6437
1603482723,6420,6420
1603484643,6412,6412
1603488483,6400,6400
1603494243,6402,6402
1603496162,6420,6420
1603500242,6423,6423
1603504082,6452,6452
1603507922,6446,6446
1603511762,6440,6440
1603515603,6428,6428
1603519442,6433,6433
1603521364,6439,6439
1603527122,6441,6441
1603529042,6435,6435
1603532883,6420,6420
1603536723,6439,6439
1603540562,6438,6438
1603544407,6420,6420
1603548243,6420,6420
1603555922,6415,6415
1603557844,6420,6420
1603561682,6423,6423
1603565523,6429,6429
1603567443,6418,6418
1603573210,6405,6405
1603575122,6400,6400
1603577041,6405,6405
1603578964,6406,6406
1603580883,6431,6431
1603586642,6425,6425
1603589470,6449,6449
1603593073,6444,6444
1603598472,6426,6426
1603600270,6430,6430
1603603877,6434,6434
1603609319,6433,6433
1603611071,6434,6434
1603614671,6434,6434
1603618263,6432,6432
1603621884,6421,6421
1603625470,6419,6419
1603629069,6403,6403
1603632673,6417,6417
1603636277,6417,6417
1603639887,6404,6404
1603643482,6404,6404
1603647105,6406,6406
1603650688,6403,6403
1603654279,6395,6395
1603656064,6387,6387
1603661477,6383,6383
1603665067,6388,6388
1603668675,6372,6372
1603672274,6401,6401
1603675881,6431,6431
1603679503,6431,6431
1603684865,6425,6425
1603688466,6411,6411
1603690279,6415,6415
1603693884,6414,6414
1603697489,6414,6414
1603704663,6416,6416
1603708287,6402,6402
1603711872,6389,6389
1603715477,6386,6386
1603717278,6398,6398
1603722690,6394,6394
1603728066,6396,6396
1603729884,6440,6440
1603733473,6439,6439
1603738883,6446,6446
1603740674,6441,6441
1603744278,6436,6436
1603749776,6432,6432
1603751523,6428,6428
1603756907,6431,6431
1603760473,6461,6461
1603762273,6478,6478
1603767676,6474,6474
1603771263,6469,6469
1603774919,6477,6477
1603776676,6486,6486
1603782099,6483,6483
1603783874,6477,6477
1603789274,6477,6477
1603791092,6474,6474
1603794716,6466,6466
1603798268,6462,6462
1603800176,6452,6452
1603805486,6460,6460
1603809084,6460,6460
