DateTime,AddedIPs,RemovedIPs
1603952126,2,0
1603953032,3,0
1603953931,0,2
1603954224,1,1
1603954524,0,1
1603955126,0,1
1603955425,1,0
1603955729,1,0
1603956024,1,0
1603956630,13,0
1603958729,0,2
1603959025,2,0
1603960231,1,0
1603962327,0,3
1603962624,1,0
1603962928,0,1
1603963225,0,1
1603963830,2,0
1603965930,0,5
1603966826,1,0
1603967126,23,2
1603967433,16,0
1603968329,1,0
1603968627,3,0
1603968924,5,0
1603969230,7,0
1603969530,4,2
1603969825,2,0
1603970424,13,2
1603970727,4,0
1603971032,49,2
1603971325,0,1
1603971626,6,0
1603973131,0,3
1603974024,24,0
1603974632,20,0
1603974924,5,0
1603975226,4,0
1603975532,5,0
1603976726,0,2
1603978232,10,0
1603978525,3,0
1603980327,0,2
1603980626,1,0
1603980930,1,0
1603981833,13,0
1603982728,1,0
1603983025,3,0
1603985432,8,0
1603986332,1,0
1603987525,0,1
1603988424,11,0
1603988726,23,0
1603989034,20,0
1603989324,17,0
1603989626,55,0
1603989928,10,0
1603990225,3,0
1603991129,0,2
1603991425,3,0
1603992631,14,0
1603996231,7,0
1603997724,1,0
1603998030,27,0
1603998927,0,2
1603999832,4,0
1604000124,0,1
1604001025,1,0
1604002824,1,0
1604003430,5,0
1604003724,15,0
1604004027,9,0
1604004332,10,0
1604004625,10,0
1604004924,10,0
1604005229,4,0
1604005527,50,0
1604007030,6,0
1604007324,4,0
1604007624,2,0
1604008227,10,0
1604008523,2,0
1604009728,1,0
1604010631,4,0
1604011525,1,0
1604011827,1,0
1604013624,59,0
1604016927,1,0
1604017831,48,0
1604018727,1,0
1604019025,1,0
1604020527,1,0
1604021428,33,0
1604022327,3,0
1604025027,11,0
1604026226,1,0
1604028629,12,0
1604030727,0,1
1604032231,15,0
1604033130,1,0
1604034326,0,2
1604034928,1,0
1604035224,1,0
1604035526,3,0
1604035827,14,0
1604037927,0,3
1604039429,8,1
1604039723,0,4
1604040025,4,3
1604041526,0,2
1604042425,4,0
1604043028,4,0
1604043929,4,0
1604045128,0,3
1604046025,1,0
1604046629,5,0
1604046924,0,1
1604047226,6,2
1604048725,0,3
1604050231,7,0
1604051424,2,0
1604052329,0,5
1604053224,1,0
1604053831,5,0
1604055025,2,0
1604055324,5,0
1604055627,8,2
1604055928,0,3
1604056527,1,0
1604057430,18,0
1604058625,14,0
1604058924,11,1
1604059230,12,1
1604059824,3,2
1604061031,15,0
1604061927,1,0
1604063125,0,1
1604063726,1,0
1604064629,12,0
1604065528,0,2
1604065826,6,1
1604068229,6,0
1604069131,4,0
1604069424,2,0
1604070925,5,0
1604071224,1,0
1604071830,10,0
1604072726,3,0
1604074525,2,0
1604075430,9,0
1604076328,3,0
1604076624,1,0
1604076924,1,0
1604078126,1,0
1604078725,5,0
1604079028,27,0
1604079324,17,0
1604079626,9,0
1604079927,10,0
1604080225,8,0
1604080524,4,0
1604081726,1,0
1604082630,42,0
1604083526,2,0
1604083827,1,0
1604084727,6,1
1604085025,9,0
1604085329,7,0
1604085624,3,0
1604085928,4,0
1604086229,8,0
1604086524,6,0
1604086826,1,0
1604087130,1,0
1604088026,17,0
1604088328,1,0
1604088625,3,0
1604089829,3,0
1604090730,1,0
1604091025,1,0
1604091928,1,0
1604092226,7,0
1604092527,5,0
1604092825,8,0
1604093127,12,0
1604093430,5,0
1604093723,5,0
1604095526,2,0
1604095827,2,0
1604096130,5,0
1604096425,3,0
1604096726,1,0
1604097031,1,0
1604097325,1,0
1604097625,2,0
1604097928,3,0
1604098524,3,0
1604098829,1,0
1604099128,4,0
1604099727,4,0
1604100024,5,0
1604100327,3,0
1604100629,1,0
1604101527,1,0
1604101828,1,0
1604102124,2,0
1604102430,2,0
1604102730,3,0
1604103025,4,0
1604103329,3,0
1604103626,1,0
1604103927,3,0
1604104230,24,0
1604104524,2,0
1604104828,2,0
1604107831,7,0
1604108726,1,0
1604109324,1,0
1604111428,15,0
1604112328,2,0
1604113825,1,0
1604115029,3,0
1604118629,6,0
1604121326,2,0
1604122227,9,0
1604123424,8,0
1604123724,2,0
1604124328,0,3
1604125829,3,0
1604127326,1,0
1604129429,10,0
1604129724,1,0
1604130024,4,0
1604130326,28,0
1604130625,1,0
1604130924,2,0
1604132128,10,0
1604133031,8,0
1604133927,12,0
1604135128,0,1
1604135726,4,0
1604136628,7,0
1604137525,4,0
1604138726,0,1
1604140231,7,0
1604141427,1,0
1604142327,1,0
1604143529,1,0
1604143831,3,0
1604144124,0,3
1604144729,1,0
1604145027,0,1
1604145324,0,1
1604146528,1,0
1604147427,15,0
1604148329,2,0
1604148625,1,0
1604149528,0,4
1604151028,4,0
1604151929,1,0
1604153126,0,2
1604153725,1,0
1604154631,5,0
1604155525,1,0
1604155826,1,0
1604157328,1,0
1604158228,8,0
1604159127,1,0
1604159724,1,0
1604160625,1,1
1604160925,1,1
1604162728,3,0
1604164528,8,0
1604164825,30,0
1604165430,38,0
1604165725,16,0
1604166028,14,0
1604166327,5,0
1604166626,10,0
1604166924,5,0
1604167227,0,1
1604168424,0,2
1604168728,0,2
1604169032,4,0
1604169625,2,2
1604169927,4,0
1604171129,2,1
1604171426,6,0
1604172630,3,0
1604174725,1,0
1604175026,2,0
1604176228,4,0
1604178628,7,0
1604178928,1,0
1604179828,2,0
1604182225,4,0
1604183428,3,0
1604184626,1,0
1604185825,3,0
1604186127,1,0
1604189729,1,0
1604190631,5,0
1604191226,8,0
1604191826,7,0
1604192124,2,0
1604192728,0,1
1604194231,8,0
1604194824,1,0
1604196326,0,1
1604196926,1,0
1604197830,7,0
1604198126,10,0
1604199026,11,0
1604199324,1,0
1604201429,4,0
1604201724,5,0
1604202025,4,0
1604205031,4,0
1604208025,1,0
1604208629,8,0
1604209527,1,0
1604211625,1,0
1604212524,7,0
1604215829,8,0
1604218825,1,0
1604219429,7,0
1604220328,8,0
1604221524,8,1
1604221825,2,0
1604222125,3,0
1604222426,1,0
1604223029,2,0
1604225425,3,0
1604225724,1,0
1604226628,2,0
1604227528,2,0
1604227825,1,0
1604229624,0,2
1604230228,6,0
1604231126,2,0
1604232027,2,0
1604232328,12,0
1604232625,13,0
1604232927,4,0
1604233829,6,0
1604236224,2,0
1604236526,6,0
1604236826,8,0
1604237430,26,0
1604238329,1,0
1604239824,1,0
1604241029,4,0
1604241927,1,0
1604244629,3,0
1604245529,1,0
1604245826,5,0
1604246726,0,1
1604247024,1,0
1604248229,3,0
1604249127,2,0
1604250328,0,1
1604250928,1,0
1604251828,4,0
1604252727,0,2
1604253026,3,3
1604253928,0,1
1604254827,1,0
1604255428,2,0
1604257527,1,0
1604258127,1,0
1604259029,1,0
1604259931,10,0
1604260225,31,0
1604260524,41,2
1604260829,18,0
1604261126,12,0
1604261425,14,0
1604262628,28,0
1604263527,3,0
1604265327,1,0
1604266229,16,0
1604267128,1,0
1604268327,1,0
1604268927,1,0
1604269828,7,0
1604271030,1,0
1604272526,1,0
1604273429,7,0
1604276127,1,0
1604277028,4,0
1604278228,1,0
1604279727,2,0
1604280026,29,0
1604280327,31,0
1604280632,23,0
1604281527,3,0
1604284229,7,0
1604285129,2,0
1604287829,7,0
1604288726,1,0
1604291429,4,0
1604292626,1,0
1604295028,4,0
1604297127,0,1
1604297726,1,0
1604298628,3,0
1604299824,1,0
1604300728,1,2
1604302230,5,0
1604304326,0,3
1604305829,1,0
1604307925,1,1
1604309432,3,0
1604310925,0,1
1604311525,0,4
1604312725,12,0
1604313029,22,0
1604313324,17,0
1604313625,23,0
1604313930,14,0
1604314226,15,0
1604315425,17,0
1604316630,1,0
1604318728,0,1
1604320229,3,0
1604322329,0,2
1604322624,6,0
1604323829,1,0
1604324728,2,0
1604325930,0,1
1604326526,1,0
1604327427,3,0
1604328327,1,0
1604328627,1,0
1604328924,10,0
1604329228,44,0
1604329528,28,0
1604329825,16,0
1604330129,14,0
1604330725,11,0
1604331030,12,0
1604331323,20,0
1604331624,13,0
1604331927,7,0
1604338229,2,0
1604338524,9,0
