DateTime,AddedIPs,RemovedIPs
1603586702,122,3108
1603588100,11,0
1603590055,8,6
1603591980,24,23
1603593853,23,0
1603594325,105,75
1603595818,128,11
1603597706,12,22
1603598165,42,78
1603599897,11,0
1603601775,65,10
1603602012,12,0
1603605646,171,23
1603608495,11,27
1603610424,15,0
1603612356,81,0
1603614250,17,13
1603616169,12,12
1603618111,202,8
1603620012,10,12
1603621930,12,11
1603623885,84,8
1603625793,6,11
1603626302,170,0
1603627697,16,4
1603629647,14,7
1603631541,18,19
1603633483,14,7
1603635405,103,9
1603637290,12,8
1603639241,157,6
1603641164,7,5
1603643071,8,8
1603645929,112,9
1603647867,9,0
1603647902,162,0
1603649831,13,12
1603651715,15,11
1603654624,9,11
1603656513,110,11
1603658506,10,4
1603658702,174,0
1603660356,8,12
1603662263,12,0
1603664201,9,9
1603666145,17,0
1603668010,83,15
1603669239,499,500
1603669451,38,79
1603669979,16,2
1603671610,615,385
1603672167,10,26
1603676902,6,4
1603677603,153,2754
1603678853,9,22
1603679050,41,0
1603680782,16,21
1603681202,112,0
1603682676,8,15
1603682886,36,0
1603684801,113,0
1603685540,12,13
1603687467,15,12
1603688402,97,0
1603689406,17,10
1603690568,8,21
1603691306,23,0
1603692003,120,0
1603693266,17,7
1603695230,24,8
1603695602,101,0
1603697057,9,8
1603698978,11,8
1603699203,132,0
1603700919,21,11
1603702845,14,12
1603706681,400,16
1603708578,8,9
1603710003,136,0
1603710526,15,7
1603712456,8,4
1603713602,140,0
1603714351,16,16
1603717202,94,0
1603718228,19,25
1603720127,9,13
1603720802,165,0
1603722050,22,12
1603723943,12,9
1603724403,147,0
1603725887,13,22
1603727783,7,4
1603728002,110,0
1603729710,13,8
1603731602,118,0
1603732578,11,4
1603734527,10,5
1603735202,103,0
1603736456,16,11
1603738357,5,12
1603738802,95,0
1603740302,11,0
1603742187,8,9
1603742402,116,0
1603744109,6,21
1603746094,12,9
1603747943,10,11
1603749887,9,6
1603751821,209,9
1603753726,11,13
1603753928,39,0
1603755630,9,5
1603756803,201,2064
1603757569,6,16
1603759494,13,13
1603759930,500,499
1603761372,8,0
1603762358,380,402
1603763318,14,6
1603764002,228,0
1603765254,6,10
1603767127,12,0
1603767617,36,83
1603771451,35,74
1603772900,249,36
1603774860,23,17
1603775288,12,0
1603776756,12,10
1603778695,11,18
1603780565,224,19
1603784420,13,29
1603785602,303,0
1603786372,20,9
1603790191,9,36
1603792109,13,0
1603792802,278,0
1603794054,17,19
1603795959,14,8
1603797872,11,16
1603799803,20,6
1603800002,382,0
1603802703,11,10
1603804612,9,0
1603806680,21,24
1603807202,381,0
1603808674,9,20
1603810621,15,13
1603812513,17,9
1603814441,10,8
1603818301,345,12
1603820184,10,9
1603822128,127,10
1603824010,142,11
1603825942,14,5
1603827888,16,9
1603828802,238,0
1603829797,9,7
1603832668,7,15
1603835544,17,12
1603836002,212,0
1603837473,12,8
1603839416,9,6
1603841309,9,8
1603842247,35,66
1603843235,11,8
1603846152,205,2907
1603848086,10,8
1603850402,241,0
1603851634,500,499
1603851889,10,15
1603852085,39,0
1603853527,389,367
1603853822,8,10
1603855705,13,0
1603855925,38,0
1603857602,227,0
1603859595,6,2
1603861489,8,20
1603863375,15,11
1603863607,13,24
1603865334,135,13
1603867225,139,10
1603869153,29,0
1603871109,25,10
1603872977,338,18
1603876896,16,10
1603879712,177,12
1603881630,12,19
1603883543,20,21
1603885484,325,11
1603887426,16,17
1603890279,10,8
1603892181,155,10
1603894173,19,22
1603896029,320,12
1603897991,15,17
1603899883,5,15
