DateTime,AddedIPs,RemovedIPs
1603970524,2,0
1603971181,4,0
1603971724,4,0
1603972924,7,0
1603974124,3,0
1603974781,1,0
1603975324,3,0
1603975924,1,0
1603977723,1,0
1603980124,24,0
1603981324,2,1
1603981924,1,0
1603982524,5,0
1603983724,17,0
1603984323,1,0
1603985582,1,2
1603986723,2,0
1603987324,8,0
1603987924,4,0
1603988524,4,0
1603989181,1,0
1603989723,2,0
1603990924,3,1
1603992124,5,0
1603992781,1,1
1603993325,2,0
1603993924,7,0
1603994524,12,0
1603995123,8,0
1603995724,6,0
1603996924,3,2
1603997524,4,0
1603998124,7,0
1603998724,1,0
1604000523,19,0
1604001124,3,0
1604001724,6,0
1604002324,11,1
1604003581,6,1
1604004124,6,0
1604005324,6,0
1604005924,2,0
1604006524,9,1
1604007181,12,0
1604007724,1,0
1604008924,2,0
1604010124,2,0
1604010724,5,0
1604011324,5,0
1604011924,3,0
1604012524,3,0
1604013124,1,0
1604013724,1,0
1604014324,1,0
1604014924,4,0
1604015523,3,0
1604016724,2,0
1604017324,1,0
1604018523,10,0
1604019724,2,0
1604020924,5,0
1604021581,3,0
1604022124,6,1
1604023323,5,0
1604025182,4,1
1604025724,5,0
1604026324,3,1
1604026923,3,0
1604028124,2,0
1604029325,3,1
1604031724,7,1
1604032925,4,0
1604034124,6,0
1604035324,3,0
1604035981,5,0
1604037124,6,2
1604037724,7,0
1604038324,3,0
1604038924,18,0
1604040125,3,0
1604041324,11,0
1604042525,4,1
1604043124,1,0
1604043724,6,1
1604044324,2,0
1604044924,3,0
1604046124,8,0
1604047325,10,1
1604049124,3,0
1604050324,3,0
1604050381,0,1
1604050924,3,0
1604051524,4,0
1604052125,2,0
1604052724,5,0
1604053981,4,0
1604054524,5,0
1604055124,1,0
1604055724,14,0
1604056924,7,1
1604058124,3,3
1604058724,3,0
1604059324,6,0
1604060524,1,4
1604061181,1,0
1604061724,5,4
1604062924,2,0
1604064124,5,3
1604065324,1,1
