DateTime,AddedIPs,RemovedIPs
1603441494,47,67
1603443371,62,79
1603445540,73,75
1603447469,54,4145
1603449404,97,112
1603451302,1860,0
1603453221,152,85
1603455172,102,71
1603457073,64,100
1603458986,132,76
1603460929,103,56
1603462832,75,78
1603464755,65,105
1603466671,92,73
1603468561,79,70
1603470509,83,61
1603472411,89,83
1603474327,62,68
1603476515,88,84
1603478403,78,69
1603480327,130,91
1603482271,100,81
1603484162,87,77
1603486111,74,80
1603488001,75,78
1603489962,116,89
1603491848,91,80
1603493766,101,133
1603495714,1581,0
1603497618,94,70
1603499530,53,54
1603501480,64,61
1603503371,66,53
1603505285,60,45
1603507230,69,94
1603509133,66,58
1603511045,87,51
1603512990,80,56
1603514885,68,58
1603516804,68,46
1603518750,89,77
1603520645,55,58
1603522564,77,74
1603524510,73,72
1603526414,86,78
1603528329,75,67
1603530275,74,75
1603532168,85,66
1603534332,81,3980
1603536245,106,82
1603538449,1764,0
1603540329,124,67
1603542250,101,69
1603544195,114,82
1603546086,89,106
1603548004,82,74
1603549957,133,73
1603551847,72,65
1603553768,114,86
1603555713,74,80
1603557608,140,78
1603559523,103,72
1603561475,87,52
1603563362,109,85
1603565283,112,58
1603567227,138,78
1603569125,90,70
1603571076,100,55
1603572965,122,65
1603574881,97,50
1603576848,125,75
1603578727,114,74
1603580910,1364,0
1603582836,91,64
1603584734,44,55
1603586652,124,46
1603588596,109,0
1603590489,50,48
1603592654,258,79
1603594567,60,60
1603596517,69,39
1603598410,69,48
1603600332,65,59
1603602278,57,70
1603604168,77,56
1603606088,58,58
1603608042,76,48
1603609931,45,55
1603611850,73,51
1603613794,70,70
1603615687,78,56
1603617608,66,81
1603619555,50,51
1603621454,60,46
1603623367,76,78
1603625312,68,3789
1603627224,1778,0
1603629130,91,88
1603631080,100,82
1603632966,97,76
1603634890,73,70
1603636835,75,63
1603638727,38,53
1603640650,36,64
1603642591,32,82
1603644486,270,76
1603646409,155,70
1603648352,72,65
1603650253,93,76
1603652166,142,76
1603654112,103,56
1603656013,183,79
1603657929,113,78
1603659877,109,78
1603661767,139,78
