DateTime,AddedIPs,RemovedIPs
1603314004,788,562
1603315803,995,359
1603318504,1026,696
1603321204,670,539
1603323003,414,355
1603325704,521,494
1603327504,383,8924
1603329303,8390,0
1603332004,454,961
1603333804,517,601
1603336504,524,995
1603339203,623,7538
1603341004,6111,6
1603343704,638,1155
1603346404,561,1495
1603348203,165,743
1603350903,647,901
1603353604,1164,1798
1603355403,697,521
1603358104,767,589
1603360804,1173,737
1603362605,795,435
1603365304,1521,767
1603368004,1841,986
1603369805,1147,579
1603372504,2248,908
1603375204,1547,773
1603377004,821,338
1603379704,1253,574
1603382404,1425,425
1603384203,1145,579
1603386904,1576,1730
1603389605,1392,2825
1603391404,517,789
1603394104,1134,995
1603395905,948,13662
1603397705,12614,0
1603400404,996,1120
1603402205,397,667
1603404904,606,1027
1603407604,893,869
1603409405,529,465
1603412105,932,681
1603414804,1283,790
1603416605,910,979
1603419303,796,1040
1603422004,911,1178
1603424704,1283,967
1603426504,643,158
1603428305,778,212
1603430104,860,223
1603431904,699,825
1603433704,652,583
1603435502,848,497
1603437303,576,597
1603439103,718,787
1603440903,670,879
1603442703,548,738
1603444503,700,446
1603446303,164,388
1603448103,1660,316
1603449903,379,462
1603451703,224,663
1603453503,208,525
1603455303,2724,574
1603457104,767,700
1603458904,832,728
1603460704,1086,824
1603462503,1273,547
1603464304,388,920
1603466104,253,1143
1603467904,251,740
1603469704,264,1115
1603471504,285,1454
1603473304,408,1435
1603475104,489,2403
1603476904,405,1057
1603479607,315,4775
1603481405,367,2490
1603484106,875,3159
1603485906,692,570
1603487706,1023,680
1603489508,699,614
1603491307,463,105
1603493107,422,47
1603495807,651,58
1603498507,689,65
1603500305,597,47
1603502105,496,34
1603503907,595,85
1603505706,619,87
1603507505,550,56
1603509306,463,51
1603511105,343,60
1603512904,354,52
1603514704,138,42
1603516505,161,76
1603518305,290,89
1603520105,518,167
1603521905,896,223
1603523706,364,82
1603525504,466,119
1603527304,554,165
1603529104,514,917
1603530904,518,1035
1603532704,548,2895
1603534504,554,5158
1603536305,570,2136
1603539005,1146,216
1603541705,962,181
1603544405,1076,210
1603546206,632,192
1603548907,1078,219
1603551606,1388,175
1603553405,784,139
1603556106,900,142
1603558806,3327,166
1603560608,878,73
1603563308,1201,96
1603566007,1233,180
1603567807,473,80
1603570507,974,168
1603572306,235,244
1603574106,293,1506
1603575907,295,599
1603577704,277,430
1603579504,475,882
1603581304,268,178
1603583104,350,464
1603584904,231,309
1603586704,367,462
1603588504,404,1039
1603590304,347,478
1603592103,750,644
1603593904,430,530
1603595704,452,219
1603597504,581,696
1603599303,774,1444
1603601104,743,3488
1603602904,722,1424
1603604705,557,812
1603606505,458,520
1603608304,392,224
1603610104,562,115
1603611904,557,149
1603613703,749,404
1603615504,668,351
1603617304,1041,483
1603619104,864,580
1603620904,1084,240
1603622704,785,357
1603624505,758,490
1603626304,912,567
1603628104,495,430
1603629904,507,425
1603631704,726,847
1603633504,1011,783
1603635307,610,406
1603637104,701,127
1603638904,608,147
1603640704,653,110
1603642504,784,111
1603644304,773,200
1603646104,996,343
1603647904,772,328
1603649704,697,472
1603651504,799,416
1603653304,416,509
1603655103,595,448
1603656903,574,726
1603658704,539,629
1603660504,136,827
1603662303,146,901
1603664103,245,1002
1603665904,322,958
1603667703,142,801
1603669503,155,891
1603671303,221,703
1603674004,282,701
1603675804,309,714
1603678504,518,1377
1603680303,253,666
1603682104,264,592
1603683904,462,635
1603685704,180,701
1603687504,154,702
1603689304,433,1289
1603691104,249,1441
1603692904,208,1134
1603694704,323,987
