DateTime,AddedIPs,RemovedIPs
1603956723,2,0
1603957324,1,0
1603957924,2,0
1603958524,5,0
1603959123,3,0
1603959723,2,2
1603960924,2,0
1603961524,5,9
1603962724,3,9
1603963324,2,2
1603963924,9,7
1603964524,2,6
1603965123,6,0
1603966324,3,4
1603966924,3,2
1603968124,4,0
1603968724,4,0
1603969324,3,3
1603969924,10,0
1603970524,2,12
1603971124,5,3
1603971724,5,0
1603972924,7,3
1603974124,5,14
1603975324,6,0
1603976524,0,5
1603977723,3,6
1603978924,1,7
1603980124,2,0
1603980724,1,5
1603981324,7,5
1603982524,6,12
1603983724,5,0
1603984323,1,5
1603984923,0,5
1603986723,3,3
1603987324,6,0
1603987924,4,8
1603988524,6,0
1603989723,5,7
1603990924,4,12
1603992124,12,0
1603992724,2,3
1603993325,2,3
1603993924,8,0
1603994524,18,0
1603995123,10,1
1603995724,8,0
1603996924,5,10
1603997524,5,3
1603998124,9,0
1603998724,0,10
1603999924,38,5
1604000523,3,15
1604001124,4,0
1604001724,7,5
1604002324,14,8
1604003524,8,1
1604004124,9,0
1604005324,10,11
1604006524,15,3
1604007124,16,0
1604007724,0,2
1604008924,7,4
1604010124,2,7
1604010724,3,12
1604011324,7,3
1604011924,6,6
1604012524,6,0
1604013724,3,4
1604014324,2,7
1604014924,7,0
1604015523,10,0
1604016124,3,0
1604016724,2,5
1604017324,4,6
1604018523,12,0
1604019724,4,22
1604020924,6,6
1604021524,4,0
1604022124,9,5
1604023323,5,0
1604023924,3,2
1604024523,6,27
1604025724,5,1
1604026324,4,0
1604026923,5,0
1604028124,2,1
1604029325,3,3
1604030523,8,5
1604031724,7,1
1604032925,9,1
1604033525,1,16
1604034124,5,0
1604035324,7,8
1604035924,5,2
1604036524,8,14
1604037724,9,0
1604038324,5,6
1604038924,23,2
1604040125,6,0
1604041324,14,3
1604042525,6,1
1604043124,1,1
1604043724,6,7
1604044924,5,0
1604046124,9,11
1604047325,11,15
1604048524,5,10
1604049724,5,20
1604050324,1,0
1604050924,6,0
1604051524,5,10
1604052125,3,7
1604052724,7,23
1604053324,1,2
1604053924,7,1
1604054524,7,0
1604055724,9,2
1604056924,13,18
1604058124,6,7
1604058724,4,0
1604059324,10,2
1604060524,1,12
1604061724,5,11
1604062924,6,1
1604064124,9,10
1604065324,0,4
1604066524,5,7
1604067724,5,17
1604068924,6,10
1604070124,7,0
1604071323,4,15
1604072524,9,2
1604073124,3,0
1604073724,10,7
1604074924,4,9
1604075525,6,0
1604076124,7,6
1604076724,7,5
1604077324,5,0
1604078524,3,1
1604079724,5,1
1604080924,2,0
1604081524,2,3
1604082724,4,1
1604083324,9,0
1604084523,1,3
1604085723,5,11
1604086924,4,3
1604088124,6,2
1604088724,2,25
1604089324,6,2
1604089923,5,0
1604090523,3,0
1604091724,5,4
1604092324,4,17
1604092924,3,1
1604094724,3,3
1604095324,3,0
1604096524,1,44
1604097724,1,4
1604098924,5,0
1604100124,6,16
1604101325,9,5
1604101925,5,6
1604102524,1,0
1604103723,2,5
1604104324,5,22
1604105523,4,3
1604106124,2,0
1604106723,1,3
1604107924,9,19
1604108523,5,12
1604109724,5,0
1604111525,7,4
1604112124,2,1
1604113324,1,1
1604113924,3,2
1604114524,4,17
1604115124,1,0
1604115724,2,0
1604116324,1,0
1604116924,5,1
1604118124,2,6
1604118724,2,1
1604119324,7,0
1604120524,2,3
1604121124,2,6
1604121724,1,5
1604122924,5,0
1604123524,2,6
1604124124,3,0
1604125324,5,4
1604125924,6,4
1604126524,2,17
1604127724,3,19
1604128324,3,4
1604128924,4,15
1604130124,4,21
1604131324,14,0
1604132524,13,16
1604133724,2,0
1604134924,13,1
1604135524,1,12
1604136725,5,2
1604137924,1,3
1604138524,3,8
1604139724,5,5
1604140324,7,2
1604140924,6,0
1604141523,11,2
1604142123,9,0
1604142724,7,0
1604143324,7,0
1604144523,6,6
1604145723,4,3
1604146324,7,3
1604146924,2,6
1604148124,5,9
1604148724,1,0
1604149323,3,0
1604149923,6,7
1604151724,3,4
1604152323,1,0
1604152924,2,0
1604153524,1,0
1604154124,1,12
1604155324,6,3
1604155924,1,0
1604156524,6,2
1604158324,3,1
1604158924,2,15
1604159524,5,0
1604160123,11,0
1604160724,5,2
1604161924,6,1
